,Instrument,Original Announcement Date Time,Debt - Long-Term - Total,Total Current Assets,Total Current Liabilities,Net Income after Tax,Revenue from Business Activities - Total,Cost of Operating Revenue,Operating Profit before Non-Recurring Income/(Expense),Net Cash Flow from Operating Activities,Total Shareholders' Equity incl Minority Intr & Hybrid Debt
5557,BAX.N,2020-07-30T11:15:00Z,6055000000.0,8566000000.0,2880000000.0,247000000.0,2718000000.0,1673000000.0,387000000.0,374000000.0,8160000000.0
5558,BAX.N,2020-04-30T11:25:23Z,5996000000.0,8333000000.0,3036000000.0,333000000.0,2802000000.0,1631000000.0,501000000.0,274000000.0,7730000000.0
5559,BAX.N,2020-03-17T11:18:37Z,4809000000.0,7503000000.0,3230000000.0,-197000000.0,3039000000.0,1714000000.0,559000000.0,829000000.0,7912000000.0
5560,BAX.N,2019-10-24T11:15:00Z,5063000000.0,7210000000.0,2611000000.0,359000000.0,2851000000.0,1612000000.0,499000000.0,664000000.0,7617000000.0
5561,BAX.N,2019-07-25T11:15:00Z,5157000000.0,7229000000.0,2557000000.0,313000000.0,2834000000.0,1681000000.0,350000000.0,446000000.0,7803000000.0
5562,BAX.N,2019-04-25T11:15:00Z,3451000000.0,6060000000.0,3276000000.0,342000000.0,2638000000.0,1558000000.0,383000000.0,134000000.0,7593000000.0
5563,BAX.N,2019-01-31T12:15:00Z,3481000000.0,5959000000.0,2814000000.0,312000000.0,2833000000.0,1636000000.0,444000000.0,709000000.0,7866000000.0
5564,BAX.N,2018-10-31T11:15:00Z,3480000000.0,7031000000.0,2663000000.0,318000000.0,2761000000.0,1513000000.0,521000000.0,456000000.0,9090000000.0
5565,BAX.N,2018-07-26T17:00:00Z,3491000000.0,6884000000.0,2586000000.0,341000000.0,2813000000.0,1590000000.0,377000000.0,402000000.0,8830000000.0
5566,ROL.N,2021-04-28T11:30:04Z,96250000.0,334043000.0,507788000.0,92643000.0,535554000.0,285148000.0,88198000.0,119486000.0,988935000.0
5567,ROL.N,2021-01-27T12:30:02Z,185812000.0,314777000.0,472511000.0,62619000.0,536292000.0,288747000.0,88459000.0,95178000.0,941360000.0
5568,ROL.N,2020-10-28T14:42:41Z,154375000.0,331836000.0,469139000.0,79579000.0,583698000.0,297878000.0,111123000.0,105835000.0,932716000.0
5569,ROL.N,2020-07-29T11:30:03Z,242500000.0,363101000.0,478173000.0,75358000.0,553329000.0,277547000.0,104529000.0,142809000.0,862830000.0
5570,ROL.N,2020-04-29T11:30:02Z,307300000.0,304830000.0,417868000.0,43268000.0,487901000.0,272749000.0,57290000.0,91963000.0,800371000.0
5571,ROL.N,2020-01-29T12:30:03Z,279000000.0,309787000.0,410035000.0,49921000.0,505985000.0,276890000.0,74300000.0,78870000.0,815750000.0
5572,ROL.N,2019-10-23T11:30:04Z,313500000.0,324188000.0,410880000.0,44061000.0,556466000.0,290408000.0,98890000.0,93375000.0,806897000.0
5573,ROL.N,2019-07-24T11:30:03Z,335375000.0,319845000.0,414341000.0,64295000.0,523957000.0,273465000.0,88606000.0,78328000.0,752264000.0
5574,ROL.N,2019-04-24T11:30:09Z,0.0,289939000.0,352712000.0,44226000.0,429069000.0,233941000.0,55598000.0,61422000.0,719124000.0
5575,ROL.N,2019-01-23T12:30:04Z,0.0,286021000.0,299029000.0,52201000.0,444623000.0,237878000.0,70985000.0,72998000.0,711908000.0
5576,ROL.N,2018-10-24T11:30:04Z,0.0,303080000.0,309381000.0,66628000.0,487739000.0,253154000.0,89513000.0,82765000.0,734758000.0
5577,ROL.N,2018-07-25T11:30:06Z,0.0,288472000.0,319231000.0,65542000.0,480461000.0,247138000.0,89944000.0,57761000.0,695811000.0
5578,CTSH.OQ,2021-05-05T20:01:10Z,654000000.0,6595000000.0,3150000000.0,505000000.0,4401000000.0,2905000000.0,669000000.0,181000000.0,11037000000.0
5579,CTSH.OQ,2021-02-03T21:01:07Z,674000000.0,6851000000.0,3540000000.0,315000000.0,4184000000.0,2794000000.0,516000000.0,898000000.0,10836000000.0
5580,CTSH.OQ,2020-10-28T20:01:08Z,2412000000.0,8619000000.0,3296000000.0,348000000.0,4243000000.0,2764000000.0,675000000.0,925000000.0,11140000000.0
5581,CTSH.OQ,2020-07-29T20:01:06Z,2421000000.0,8531000000.0,3212000000.0,361000000.0,4000000000.0,2726000000.0,563000000.0,979000000.0,10972000000.0
5582,CTSH.OQ,2020-05-07T20:01:06Z,2430000000.0,8325000000.0,2872000000.0,368000000.0,4225000000.0,2874000000.0,640000000.0,497000000.0,10613000000.0
5583,CTSH.OQ,2020-02-05T21:01:08Z,715000000.0,7611000000.0,2983000000.0,452000000.0,4284000000.0,2881000000.0,727000000.0,938000000.0,11022000000.0
5584,CTSH.OQ,2019-10-30T20:01:12Z,723000000.0,7391000000.0,2919000000.0,498000000.0,4248000000.0,2808000000.0,734000000.0,717000000.0,10702000000.0
5585,CTSH.OQ,2019-07-31T20:01:10Z,734000000.0,7206000000.0,2824000000.0,509000000.0,4141000000.0,2754000000.0,668000000.0,575000000.0,10557000000.0
5586,CTSH.OQ,2019-05-02T20:01:05Z,744000000.0,7883000000.0,2720000000.0,441000000.0,4110000000.0,2698000000.0,541000000.0,269000000.0,11136000000.0
5587,CTSH.OQ,2019-02-06T12:00:13Z,736000000.0,8610000000.0,2710000000.0,647000000.0,4129000000.0,2621000000.0,739000000.0,702000000.0,11424000000.0
5588,CTSH.OQ,2018-10-30T10:00:19Z,624000000.0,8727000000.0,2693000000.0,472000000.0,4078000000.0,2562000000.0,793000000.0,862000000.0,10978000000.0
