,Date,Instrument,e_p,b_p,ebit_ev,rev_ev,90_days,1_yr,fwd_ret
16121,2018-05-02,FRT.N,0.0069411972953804,0.2461416061802626,0.0072948004638794,0.0184884017558777,-0.0437086092715232,-0.1208523592085236,0.0818905817174515
18514,2018-08-01,FRT.N,0.0066185882119841,0.2271645942547786,0.0071897210554826,0.0173607756583655,0.0818905817174515,-0.0601594224695442,-0.0074411905904945
20816,2018-10-31,FRT.N,0.0064917269845679,0.2315118308913566,0.0071160471869423,0.017765799051817,-0.0157886385274517,-0.0316159250585479,0.0929463925836358
23274,2019-02-13,FRT.N,0.0059968078550694,0.2507102669895624,0.0067172747037148,0.0191338236619942,0.0537851702160734,0.2234253744811407,-0.010989821507597
25826,2019-05-02,FRT.N,0.0056311355322048,0.2166501463993698,0.0064603542220648,0.0167330516727541,0.0114656407935431,0.1422608399352585,-0.0261018718770974
28440,2019-08-01,FRT.N,0.0081561271975475,0.2329904811337409,0.0083511612108482,0.0175031863264654,-0.0261018718770974,0.0360996509044746,0.0809403476529595
30595,2019-10-30,FRT.N,0.0061957211342804,0.2263683835855557,0.0068065912848687,0.016981962176425,0.0809403476529595,0.1379282547359934,-0.0934400680079342
33240,2020-02-10,FRT.N,0.0149118178672022,0.2442671928441999,0.0130723372525903,0.0178121962818269,-0.0311175045427014,-0.0526354752739118,-0.4271313589122451
36166,2020-05-06,FRT.N,0.0093059526978185,0.415106175924425,0.0089113793874137,0.0243975061695874,-0.4277127244340358,-0.4319256102285935,0.0391488200791161
38839,2020-08-05,FRT.N,0.0012796578375727,0.3528930743833872,0.0042652587042564,0.0169203733578326,0.0391488200791161,-0.4205962884088834,-0.053557364137569
41602,2020-11-05,FRT.N,-0.0054992785598781,0.3902604758862936,0.0061534226995781,0.0216095832973614,-0.0851414795076768,-0.4516276239732278,0.3590846047156726
43727,2021-02-11,FRT.N,0.014360270740296,0.3578396771708897,0.0144797758811424,0.0211344803848373,0.0415603741496597,-0.2298200110036942,0.121543014593326
1567,2016-10-27,LIN.N,0.0098307738755537,0.1603373119703142,0.0135366316884295,0.0615837381336258,0.000171614896173,0.0492393554775407,0.0252230610844199
3619,2017-01-26,LIN.N,0.0121394291094627,0.1736297163513551,0.013973538876907,0.0616795271962307,0.0081835822154727,0.195,0.050041841004184
6302,2017-04-27,LIN.N,0.0114942606692688,0.1848537140024309,0.0136074994746083,0.0632389413402584,0.050041841004184,0.068278562915035,0.0576187440229518
8680,2017-07-27,LIN.N,0.0107088628102629,0.1587338334782323,0.0130911339976079,0.0600328054194513,0.0576187440229518,0.1387506435558607,0.1272699871901137
10826,2017-10-26,LIN.N,0.0104831146961994,0.1593233278887787,0.0130589694566822,0.0595293428274969,0.1311053984575836,0.2738419618528609,0.0919117647058822
12769,2018-01-25,LIN.N,0.0007451613599803,0.1360935611091404,0.0122995423442917,0.0540502824120708,0.142707240293809,0.3589850249584025,-0.0450566268748086
15551,2018-04-26,LIN.N,0.0111503139838824,0.1504085643886479,0.0132909374175914,0.0596699420888572,-0.0450566268748086,0.2481196991518643,0.0670555804859285
17829,2018-07-26,LIN.N,0.0105616408332641,1.1352883759022887,0.013162411391369,0.0564315215145457,0.0670555804859285,0.2585059730833208,-0.0296185040552717
21843,2018-11-09,LIN.N,0.00997359361017,1.1071554295020694,0.0126900626675358,0.0552412568798089,0.0466562986003111,0.090246371920351,0.0806711243189697
24464,2019-03-18,LIN.N,0.0346333214750129,0.5880454221163709,0.0019351707072528,0.0566965922867372,0.1041179075210323,0.166934082096537,0.0403322830134631
26699,2019-05-10,LIN.N,0.0053929421640362,0.5274443473546058,0.0065455384515251,0.0633039261941376,0.1263490882024562,0.1520015225528135,0.0497824770086459
28605,2019-08-05,LIN.N,0.0047895420285417,0.4491617833777881,0.007113230968726,0.058765729241631,0.0671779656272741,0.2068245125348189,0.0793684100089178
31816,2019-11-12,LIN.N,0.0070184898141823,0.4686059444097722,0.0080992298039814,0.0592420152851308,0.1083818142641672,0.3111578410756386,-0.0369848367029548
34285,2020-03-02,LIN.N,0.0044681593824039,0.3915191869012138,0.00762198894799,0.0552340652525785,-0.0381067961165048,0.1763832818807884,-0.0674236689376736
36461,2020-05-07,LIN.N,0.0062294127605031,0.4950589334642771,0.0093932598848896,0.0627987880597926,-0.1474509803921568,0.0176221157552727,0.3097029060014071
38194,2020-07-30,LIN.N,0.0041100518839963,0.4143704055535665,0.0087518614054628,0.050461681901118,0.315397575955215,0.2893292845346544,0.0319808280307412
41777,2020-11-05,LIN.N,0.0056007113428604,0.3785840837287528,0.0077782867528419,0.0489624937472279,0.0181403122579593,0.2303448275862067,0.0304692504804613
43489,2021-02-05,LIN.N,0.0055835376651783,0.3431120151990198,0.0076685909803831,0.0476632424011506,0.0938416422287391,0.1946249535833644,0.1516493763841939
1438,2016-10-26,AOS.N,0.0096530300066004,0.1770031559864138,0.0145593729183237,0.0826319928534574,-0.029817249118307,0.1885310290652004,0.0396563119629873
3997,2017-02-02,AOS.N,0.0100427567845447,0.1840119631876745,0.015120856618895,0.0894565254716155,0.0552325581395347,0.4395973154362416,0.1532104259376987
6411,2017-04-27,AOS.N,0.0098828542832635,0.1765165672668645,0.0143878904768515,0.086843710871698,0.1149354640442532,0.4094794094794096,-0.0042263873575891
8350,2017-07-26,AOS.N,0.0094797698433384,0.165557409049732,0.0139106934364056,0.0786886888486945,0.0230319048518028,0.1582772256064979,0.0907916589776711
10711,2017-10-25,AOS.N,0.0091379073973553,0.1624636065448691,0.0134966637132419,0.0754746317566004,0.0964570580597292,0.3164810690423163,0.1236677381153781
12976,2018-01-30,AOS.N,0.0021545502733772,0.1561242178272379,0.0141908526685312,0.0759018048784487,0.1144295302013422,0.3708978328173373,-0.074074074074074
15324,2018-04-25,AOS.N,0.009057748370696,0.1566220376163681,0.0127741012857367,0.0748957724193493,-0.0793413173652693,0.1300992282249173,-0.0500813008130081
17701,2018-07-25,AOS.N,0.0113108121493888,0.1709266223763109,0.0152788744470757,0.0857943805710794,-0.0500813008130081,0.083657948432573,-0.2173913043478261
20671,2018-10-30,AOS.N,0.0114878478931989,0.192877232027112,0.0153788134174709,0.0868701363154667,-0.2207260951082325,-0.2369826435246996,0.0468066491688539
22524,2019-01-29,AOS.N,0.0174041126893824,0.2366022287226422,0.0229171667278849,0.1189029244342689,0.0593182824258522,-0.2794339054501656,0.098412035102382
25473,2019-04-30,AOS.N,0.0099771623421218,0.1954317174562099,0.0132069362718045,0.086984416536656,0.098412035102382,-0.1453422207771093,-0.1384820239680426
27968,2019-07-30,AOS.N,0.0129486581763011,0.2187828620953682,0.0176889863879014,0.0998462402750719,-0.1384820239680426,-0.2392071224592642,0.0869949216162508
30493,2019-10-29,AOS.N,0.011129969837013,0.2111506992446858,0.0151521351005859,0.0952009040573487,0.083168316831683,0.0767716535433069,-0.075969937030266
32544,2020-01-28,AOS.N,0.0117493325751917,0.2144993158415065,0.0157265097988437,0.1000765780334892,-0.109261797532798,-0.0483263598326358,-0.0732029017366455
35986,2020-05-05,AOS.N,0.0084402458826254,0.2638678804659106,0.0118151882147617,0.1076551269525287,-0.0147230661369479,-0.1618290258449304,0.1494307400379508
38238,2020-07-30,AOS.N,0.0089293544720937,0.2183740803861163,0.0130863282613016,0.090878800551027,0.143463898065125,0.1079103795153177,0.1015270326042097
40818,2020-10-29,AOS.N,0.0123670909533124,0.2049956793598876,0.0172869489517461,0.0935094747567763,0.1088491898628998,0.0616547334924424,0.0661296365680028
42976,2021-01-28,AOS.N,0.013556774689709,0.2088082221582432,0.0184767543042682,0.10084271724599,0.0731661323778991,0.3330990864371046,0.2020734493059217
2068,2016-11-01,SBAC.OQ,-0.0010996744736645,-0.1194160622227425,0.0046798788196186,0.01800659559973,-0.0204928893207313,-0.0572983082546968,0.0403102173324916
5069,2017-03-01,SBAC.OQ,0.0004172071615057,-0.1582501966932225,0.0054468829159145,0.0196079028607617,0.158000401525798,0.1914893617021278,0.1030686546463246
6582,2017-05-01,SBAC.OQ,0.0025764135122201,-0.1313282897411796,0.005508211800732,0.0183059218032429,0.2200383509108341,0.2849641522770878,0.0998821218074657
9524,2017-08-04,SBAC.OQ,0.0005642426032778,-0.121347971051601,0.0040716765828125,0.0171757752065898,0.0797716401789847,0.2173610507088805,0.0729494141183193
11086,2017-10-30,SBAC.OQ,0.0028355250616529,-0.1302260493714527,0.005471502112523,0.0165902553468431,0.0927017390671613,0.3542249075660564,0.1502297396284211
14207,2018-02-26,SBAC.OQ,0.0003989215187346,-0.1353580292747383,0.0039167583119105,0.0155771714414248,0.034435261707989,0.4920100198669777,-0.0723672784113934
15733,2018-04-30,SBAC.OQ,0.0015851230630519,-0.1300580282718832,0.0048220395712576,0.0157087237234527,-0.0548017932987259,0.2422856256783998,-0.0126068776134306
18130,2018-07-30,SBAC.OQ,-0.003017481098767,-0.1599481602062617,0.0014448692669629,0.0159639495050567,-0.0126068776134306,0.1512042494360765,0.0531571961317236
21215,2018-11-05,SBAC.OQ,0.000875134685208,-0.1704888021034596,0.0042206966521537,0.0166594698914086,0.0541566493736556,0.0058557198913371,0.0962669547473291
23686,2019-02-21,SBAC.OQ,0.0031153502898788,-0.1840670920497508,0.006254104696961,0.0171939106424609,0.061853272875247,0.0674380551659654,0.093890287966714
25258,2019-04-29,SBAC.OQ,0.0011511620221657,-0.1462940495875404,0.0044094025353931,0.0153272972327336,0.1249296250422249,0.2470199088809836,0.1860267253891196
27849,2019-07-29,SBAC.OQ,0.0012556461986634,-0.1311430616745963,0.0044604905236543,0.0142771264899117,0.1860267253891196,0.4978825611528978,0.0233353025571778
30355,2019-10-28,SBAC.OQ,0.0007948185774778,-0.1305342219645324,0.0034606290344749,0.0137145168270774,-0.0238296502032766,0.5670069785474283,0.2046101191703435
33704,2020-02-20,SBAC.OQ,0.0024820055502393,-0.1351358068442395,0.0073128144924794,0.0137408663351624,0.2370003387533874,0.6002738975623116,0.0081470578167253
35905,2020-05-05,SBAC.OQ,-0.0041945894803253,-0.1425255201730315,-0.0016229879551981,0.0127060050120438,0.1587126726206869,0.416322015966144,0.0369427184136361
38472,2020-08-03,SBAC.OQ,0.0006859961983235,-0.1294528622195013,0.0030208773919312,0.011682964728485,0.0585441941074522,0.2315106056940075,-0.0388683322964078
41201,2020-11-02,SBAC.OQ,0.0006330401376187,-0.1258450020973264,0.002728722723563,0.0113410870997129,-0.0541071831394412,0.2830914495541179,-0.1152221313709457
44092,2021-02-22,SBAC.OQ,0.0033743584718591,-0.153893803040069,0.0060083693460054,0.0127139192573234,-0.1300415382553932,-0.1078360644474217,0.1427801309202925
1525,2016-10-26,RHI.N,0.0183817785544715,0.2222257151193847,0.0315035311800733,0.2887460927363311,0.0618612157073694,-0.2429530201342282,0.2646909827760892
3582,2017-01-26,RHI.N,0.0123726846900993,0.172830601269827,0.020635442923654,0.2098702582705388,0.2915157785825144,0.1407356636965957,-0.0805127178049269
5687,2017-04-20,RHI.N,0.0126396915585393,0.1740016825099292,0.0210442360227857,0.216252798804688,-0.0551553817657956,0.0438835834470214,0.041167501633631
8307,2017-07-25,RHI.N,0.013175819129115,0.1811739109652938,0.0224789820704375,0.2256361970085493,0.0105708245243127,0.2967986977753662,0.0640167364016737
