,key,Date,Ticker,Quantity,Basis,Purchase Price,Current Value,Last,% Gain,model
9,Positions_2019-10-02,2019-10-01,SYK,205,43124.36671343983,210.36276445580404,42142.36640264857,205.5725190373101,-2.2800000000000002,MF_MLP
10,Positions_2019-10-02,2019-10-01,CVS,697,41497.59245836288,59.53743537785205,40781.34613191531,58.5098222839531,-1.73,MF_MLP
11,Positions_2019-10-02,2019-10-01,ADP,248,38493.68636224693,155.21647726712473,37572.71120392101,151.502867757746,-2.39,MF_MLP
12,Positions_2019-10-02,2019-10-01,CL,481,33380.73464370206,69.39861672287331,32760.92762471097,68.11003664181075,-1.8599999999999999,MF_MLP
13,Positions_2019-10-02,2019-10-01,BSX,778,31635.425296783447,40.66250038146973,30678.485652923584,39.4325008392334,-3.02,MF_MLP
0,Positions_2019-10-03,2019-10-01,WMT,1509,173512.78111007405,114.98527575220282,169863.18044142597,112.56671997443736,-2.1,MF_MLP
1,Positions_2019-10-03,2019-10-01,MA,552,148535.23461187354,269.08556994904626,145166.88473289003,262.9834868349457,-2.27,MF_MLP
2,Positions_2019-10-03,2019-10-01,CVX,1149,123411.63294135683,107.40786156776052,117694.97714823943,102.4325301551257,-4.63,MF_MLP
3,Positions_2019-10-03,2019-10-01,BA,289,108117.1947420379,374.1079402838682,105235.25217380635,364.1358206706102,-2.67,MF_MLP
4,Positions_2019-10-03,2019-10-01,COST,242,66448.67571721209,274.58130461657885,66624.11283732306,275.30625139389696,0.26,MF_MLP
5,Positions_2019-10-03,2019-10-01,ABBV,797,54170.12076859418,67.96752919522481,53043.43057769981,66.55386521668734,-2.08,MF_MLP
6,Positions_2019-10-03,2019-10-01,CHTR,117,47929.927642822266,409.6575012207031,48243.19578552246,412.3350067138672,0.65,MF_MLP
7,Positions_2019-10-03,2019-10-01,BKNG,22,43491.305053710945,1976.8775024414065,42792.91516113281,1945.1325073242188,-1.6099999999999999,MF_MLP
8,Positions_2019-10-03,2019-10-01,GILD,749,44327.86023221513,59.18272394154223,43122.45418389936,57.57337007196176,-2.7199999999999998,MF_MLP
9,Positions_2019-10-03,2019-10-01,SYK,205,43124.36671343983,210.36276445580404,42313.64548388127,206.40802675064035,-1.8800000000000001,MF_MLP
10,Positions_2019-10-03,2019-10-01,CVS,697,41497.59245836288,59.53743537785205,40506.7584654638,58.11586580410874,-2.39,MF_MLP
11,Positions_2019-10-03,2019-10-01,ADP,248,38493.68636224693,155.21647726712473,37269.301959329285,150.27944338439227,-3.18,MF_MLP
12,Positions_2019-10-03,2019-10-01,CL,481,33380.73464370206,69.39861672287331,32725.15035220654,68.03565561789301,-1.96,MF_MLP
13,Positions_2019-10-03,2019-10-01,BSX,778,31635.425296783447,40.66250038146973,30647.36568260193,39.39250087738037,-3.1199999999999997,MF_MLP
0,Positions_2019-10-04,2019-10-01,WMT,1509,173512.78111007405,114.98527575220282,171871.1833873233,113.89740449789484,-0.95,MF_MLP
1,Positions_2019-10-04,2019-10-01,MA,552,148535.23461187354,269.08556994904626,148684.3103556659,269.3556347022933,0.1,MF_MLP
