Instrument,date,eps_basic,eps_excl_basic,eps_dil,eps_growth,ebit,ebitda,rev,net_inc,tot_assets,oth_assets,cash,book_val,tang_book,debt,lt_cap,intang,ocf,capex,cfo_ps,fcfe,noa,ebit_bv,ebit_nonop,ebit_op,ebit_tot,ebit_mgn,net_debt,nd_ebitda,ni_op,ni_tot,ni_mgn,ocf_bv,ocf_op,ocf_tot,ocf_mgn,ocf_ce,fcf_bv,fcf_op,fcf_tot,fcf_mgn,fcf_ce
CBRE.N,2021-02-23T12:12:57Z,2.24312,2.24312,2.22102,-0.96935,1008242000.0,1509970000.0,23826195000.0,751989000.0,18039143000.0,1837648000.0,1896188000.0,7120087000.0,1930565000.0,2889189000.0,10509587000.0,5189522000.0,992459000.0,76029000.0,2.92932497125904,467067000.0,16201495000.0,0.1416052921825253,0.5486589379467668,0.062231417532764725,0.0558919012948675,0.04231653438578842,993001000.0,0.6576296217805652,0.04641479073381808,0.041686514708597855,0.03156143899602937,0.13938860578529447,0.06125724817370249,0.05501697059555435,0.04165411220717366,0.09443368231311088,0.06559849619815039,0.02882863587588676,0.02589186193601326,0.019603088113733645,0.0444419937719722
CBRE.N,2020-10-29T10:56:49Z,3.21247,3.21247,3.1685,-0.21404,1077542000.0,1558107000.0,24035101000.0,1075842000.0,16347076000.0,1361216000.0,1481924000.0,6594302000.0,1516116000.0,3081711000.0,10194804000.0,5078186000.0,857016000.0,56397000.0,2.53805946048769,342473000.0,14985860000.0,0.16340501238796767,0.7916025083454793,0.07190391475697758,0.06591649784952366,0.04483201464391599,1599787000.0,1.0267504093107855,0.07179047448728335,0.06581250371626093,0.04476128475599083,0.12996311057637336,0.05718830951310102,0.052426256536643005,0.035656850370630856,0.08406399966100378,0.05193468542993633,0.022853076166466254,0.020950107529933794,0.014248868769055723,0.033592896930632506
CBRE.N,2020-07-31T12:42:22Z,3.42651,3.42651,3.37546,-0.42105,1235552000.0,1706552000.0,24315060000.0,1148309000.0,15700414000.0,1255759000.0,1214213000.0,6285051000.0,1258710000.0,3073906000.0,9847516000.0,5026341000.0,187322000.0,71908000.0,0.555256142078297,589149000.0,14444655000.0,0.19658583518256256,0.9839085365902215,0.08553696851880506,0.07869550446249379,0.05081426901681509,1859693000.0,1.0897370838978244,0.07949715656067936,0.07313877200945147,0.04722624579170275,0.02980437231137822,0.012968257116559724,0.011931022965381677,0.007703949733210611,0.019022259014354483,0.09373814150434101,0.040786643917767505,0.0375244245151752,0.024229798322521104,0.05982716859764432
CBRE.N,2020-05-07T10:56:33Z,3.84756,3.84756,3.78975,0.02478,1387702000.0,1854497000.0,24647749000.0,1290143000.0,15680264000.0,1246857000.0,628451000.0,6169547000.0,1156003000.0,3120208000.0,9614838000.0,5013544000.0,-109779000.0,62241000.0,-0.323128495365358,-172050000.0,14433407000.0,0.22492769728474393,1.1129600266911122,0.09614514438621456,0.08849991301166868,0.05630136853470879,2491757000.0,1.3436295663999456,0.08938589482025969,0.08227814276596364,0.052343238321682035,-0.01779368890455004,-0.007605896514939266,-0.007001093859134004,-0.004453915852518622,-0.01141766507142398,-0.02788697452179228,-0.011920262485496321,-0.010972391791362696,-0.0069803534594579005,-0.017894217250462256
CBRE.N,2020-02-27T11:57:09Z,3.82278,3.82278,3.76623,0.74605,1329845000.0,1794569000.0,23894091000.0,1282357000.0,16197196000.0,1223955000.0,971781000.0,6273112000.0,1140073000.0,2839735000.0,9760745000.0,5133039000.0,1096408000.0,132931000.0,3.22168337646104,795547000.0,14973241000.0,0.211991273230894,1.086514618593004,0.08881477296732217,0.08210340851589373,0.0556558104679521,1867954000.0,1.0408928271913758,0.085643248512463,0.07917154302510138,0.05366837349033282,0.17477896138312213,0.07322449428283428,0.06769122260420878,0.045886156539706825,0.1123283110049489,0.12681855512861878,0.053131249273286926,0.04911634087776674,0.033294717091351164,0.08150474169748313
CBRE.N,2019-11-06T11:56:58Z,3.07673,3.11426,3.07899,-0.09242,1272843000.0,1731845000.0,23068432000.0,1038534000.0,15040942000.0,1623783000.0,577460000.0,5558980000.0,606050000.0,3235595000.0,9012972000.0,4952930000.0,478720000.0,71809000.0,1.40345864723109,229989000.0,13417159000.0,0.2289706025206063,0.7838750621234487,0.09486680451502438,0.08462521828752481,0.05517683213146,2658135000.0,1.5348573342302574,0.07740342050056946,0.06904713813802353,0.045019704850334,0.08611651777844137,0.035679684499527804,0.03182779376451289,0.020752169024752094,0.05311455533202589,0.04137251797991718,0.017141408251925762,0.015290864096145043,0.009969858376156646,0.025517554032121702
CBRE.N,2019-08-01T10:56:58Z,3.16915,3.20668,3.17176,-0.00894,1145703000.0,1600029000.0,22404285000.0,1072404000.0,14719135000.0,1083044000.0,535618000.0,5390530000.0,395460000.0,3417003000.0,8831686000.0,4995070000.0,103590000.0,67243000.0,0.304221095451972,-65488000.0,13636091000.0,0.21253995432731104,1.0578545285325434,0.08401989983786409,0.07783765825913004,0.05113767299425088,2881385000.0,1.8008329849021487,0.07864453236635044,0.07285781399518382,0.04786602205783402,0.019217034317590292,0.007596751884392675,0.007037777695496373,0.0046236690883016355,0.011729357225789052,-0.012148712649776553,-0.004802549352303384,-0.0044491744929304605,-0.0029230122719827926,-0.007415118698739969
IRM.N,2021-05-06T10:00:01Z,1.12428,1.12428,1.12147,-0.06433,949940000.0,1609293000.0,4160579000.0,324321000.0,13944449000.0,305640000.0,138944000.0,959707000.0,-4832672000.0,8977927000.0,12017002000.0,5792379000.0,68829000.0,147859000.0,0.237728302616673,144077000.0,13638809000.0,0.9898229355417851,3.1080355974348906,0.06964977660439413,0.0681231649956194,0.22831918345980212,8838983000.0,5.492463460662539,0.023779275741745487,0.023258072083020276,0.07795092942592846,0.07171876416447936,0.005046555018110453,0.004935942610568549,0.016543130174910752,0.005727634895958243,0.15012602804814387,0.010563752304178466,0.010332211763978628,0.03462907446295335,0.011989429643100668
IRM.N,2021-02-24T11:03:57Z,1.18861,1.18861,1.18582,0.72659,944667000.0,1600962000.0,4147270000.0,342693000.0,14149267000.0,270393000.0,205063000.0,1136729000.0,-4773413000.0,8763119000.0,12153572000.0,5910142000.0,360439000.0,132293000.0,1.24651199857412,274857000.0,13878874000.0,0.8310397640950482,3.4936814192675105,0.06806510384055652,0.06676437726420739,0.22778044352067744,8558056000.0,5.34557097545101,0.024691700493858507,0.02421984121156241,0.08263098375557897,0.31708437103302545,0.0259703344810249,0.025474040457360795,0.08690994316743303,0.029657042390500505,0.24179641761580817,0.019803984098421816,0.01942552925179799,0.06627419965423037,0.022615326588759255
IRM.N,2020-11-05T11:11:36Z,0.46202,0.46202,0.46107,-0.24185,804952000.0,1462465000.0,4167207000.0,132983000.0,13682660000.0,347621000.0,151972000.0,937246000.0,-4841682000.0,9075108000.0,11791757000.0,5778928000.0,188144000.0,110947000.0,0.651444005878439,-556150000.0,13335039000.0,0.8588481572607405,2.31560233702797,0.060363677976494855,0.0588300812853641,0.19316343056632415,8923136000.0,6.101435589911554,0.00997244927442657,0.00971908970916474,0.03191178168015172,0.20074132084852855,0.014108995106800963,0.013750542657641132,0.04514870511592057,0.01595555267972364,-0.5933874351024171,-0.04170591477085294,-0.04064633631179902,-0.13345869307668182,-0.04716430299572829
