,Instrument,eps_basic,eps_excl_basic,eps_dil,eps_growth,ebit,ebitda,rev,net_inc,tot_assets,oth_assets,cash,book_val,tang_book,debt,lt_cap,intang,ocf,capex,cfo_ps,fcfe,noa,ebit_bv,ebit_nonop,ebit_op,ebit_tot,ebit_mgn,net_debt,nd_ebitda,ni_op,ni_tot,ni_mgn,ocf_bv,ocf_op,ocf_tot,ocf_mgn,ocf_ce,fcf_bv,fcf_op,fcf_tot,fcf_mgn,fcf_ce,12m_volume,6m_volume,3m_volume,12m_avg_mkt_cap,3m_avg_mkt_cap,6m_avg_mkt_cap,e_p,b_p,ebit_ev,rev_ev,90 days,1_yr,fwd_ret,Unnamed: 0,roe,roa,roce,roic,d_e,1yr_ret,3m_ret,6m_ret,1yr_vol,6mth_vol,3mth_vol
2021-01-26,AXP,3.77115,3.77115,3.76647,-0.28653,5996000000.0,7539000000.0,28932000000.0,3035000000.0,191367000000.0,18285000000.0,32359000000.0,22984000000.0,22984000000.0,44830000000.0,22984000000.0,,3500000000.0,436000000.0,4.3424317617866,1349000000.0,173082000000.0,0.2608771319178559,0.3279190593382554,0.0346425393744005,0.0313324658901482,0.2072445734826489,12471000000.0,1.6541981695185035,0.0175350411943471,0.0158595787152434,0.1049011475183188,0.1522798468499826,0.0202216290544366,0.0182894647457503,0.120973316742707,0.1522798468499826,0.0586930038287504,0.00779399359841,0.0070492822691477,0.0466265726531176,0.0586930038287504,1205946.619047619,1030374.5317460316,1130859.111111111,83054.41591269842,94482.97968253968,87882.70674603175,0.0145238705617768,0.2360796612389528,0.0169173666380624,0.0649925527785196,0.1542609839721325,-0.1249479785625435,xxx,169.0,13.1842362392791,1.60897949128534,13.6141569862121,4.04093785849628,195.04873,,0.2984238606661387,,0.0407108469646626,0.026935138302995282,0.033433089429843826
2021-04-23,AXP,6.10229,6.10229,6.09471,2.33114,6837000000.0,8465000000.0,27600000000.0,4908000000.0,193067000000.0,17535000000.0,39753000000.0,24449000000.0,24449000000.0,43597000000.0,24449000000.0,,2280000000.0,319000000.0,2.83229813664596,940000000.0,175532000000.0,0.2796433391958771,0.3899059024807528,0.0389501629332543,0.035412576981048,0.2477173913043478,3844000000.0,0.4541051388068517,0.0279607137160175,0.0254212268279923,0.1778260869565217,0.0932553478669884,0.0129890846113529,0.0118093718760844,0.0826086956521739,0.0932553478669884,0.0384473802609513,0.0053551489187156,0.0048687761243506,0.0340579710144927,0.0384473802609513,1029555.126984127,1003006.3015873017,888838.7936507936,91033.951468254,111372.24063492064,102927.61015873015,0.0194128895869979,0.2151521928887185,0.0254767117468449,0.0584440704489935,0.2463522754970806,0.7619344123480027,xxx,168.0,21.5993840061599,2.63922115808159,22.0129798702013,6.89417584764739,178.31813,,,,0.02700121001178616,0.026764815026741186,0.018636112689233625
2019-05-21,AZO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0157844322105408,-0.0618047099420702,0.0178368483201234,0.0906629600875095,0.1040106951871657,0.7147009966777409,xxx,,,,,,,0.07823687068600149,0.057021056286328475,0.15054494978354316,0.015789928046007887,0.015088172988729932,0.01435971182035216
2019-09-24,AZO,65.08802,64.84146,63.423,7.9058,2216136000.0,2586093000.0,11863743000.0,1617222000.0,9895913000.0,384493000.0,176300000.0,-1713851000.0,-2022112000.0,5206344000.0,4383772000.0,308261000.0,841878000.0,182203000.0,33.866124944688,698240000.0,9511420000.0,-1.293073901990313,5.763787637226165,0.2329973862998374,0.223944571865173,0.1867990565877902,5030044000.0,1.9450360060523733,0.170029501378343,0.1634232233044086,0.1363163379382038,-0.4912200652215391,0.0885123356975089,0.0850733024835606,0.0709622587070539,0.1920442030288071,-0.4074099790471867,0.0734106999796034,0.0705584214412556,0.0588549499091475,0.1592783566298612,70847.48809523809,61262.38095238096,59898.98412698413,24215.741547619047,27533.178888888888,26793.900793650795,0.0209165671161624,-0.0634218687799143,0.0243588188789602,0.1244322501800451,0.0623686169850448,0.4965745814015863,xxx,288.0,,16.7170393765636,36.9663957005177,46.3515402830698,,0.029472060900354702,0.10690934017157727,-0.22997730418107765,0.014934213468335768,0.013315981435964517,0.013980121179174024
2019-12-10,AZO,66.0506,65.80404,64.26122,0.962580000000001,2228341000.0,2605596000.0,12015048000.0,1616154000.0,12700456000.0,402937000.0,158089000.0,-1776090000.0,-2083389000.0,5482988000.0,6832220000.0,307299000.0,447102000.0,101407000.0,18.2542767321275,411443000.0,12297519000.0,-1.254632929637575,5.530246663870531,0.1812024848264109,0.1754536215077632,0.1854625133416029,5324899000.0,2.0436395358298065,0.1314211427524527,0.1272516514367673,0.134510823427422,-0.2517338648379305,0.0363570895885584,0.0352036178858459,0.037211836357208,0.0654402229436405,-0.2316566165002899,0.0334573990086943,0.0323959234219621,0.0342439747223648,0.0602209823454162,66646.42063492064,58391.142857142855,59464.71428571428,25669.511507936502,27378.93031746032,27400.62753968254,0.0126329380698949,-0.0640445369230851,0.0151260821491267,0.0844915578556042,0.1398557347822859,0.4203415519187199,xxx,287.0,,14.4649957161248,28.7344709053187,50.0234518299029,,-0.09066396484374994,-0.21744799804687498,-0.1234400390625,0.013260232689393248,0.013231057886286876,0.014581307411478336
2020-03-03,AZO,67.0404,67.14352,65.5019,0.989800000000001,2236259000.0,2620406000.0,12078143000.0,1620798000.0,12863749000.0,402309000.0,152970000.0,-1711119000.0,-2017455000.0,5647517000.0,7084189000.0,306336000.0,204542000.0,89156000.0,8.46614238410596,264199000.0,12461440000.0,-1.306898585077952,5.558560708311274,0.1794543006265728,0.173841933638475,0.1851492402433056,5494547000.0,2.096830414828847,0.1300650647116224,0.1259973278396523,0.1341926486546814,-0.1195369813554755,0.0164139938883467,0.0159006522904015,0.0169348880866868,0.0288730297850607,-0.1544013011368584,0.0212013218376046,0.0205382583257804,0.0218741407516039,0.0372941772163334,64906.53968253968,67339.26984126984,76853.25396825396,26769.688373015877,26701.742857142857,27030.516587301587,0.0120444722574129,-0.068863230413564,0.0134443867169666,0.0828426315962975,-0.1802320312499999,0.0959464822860962,xxx,286.0,,14.337725537847,28.200081409443,49.4488265599688,,0.1512916192939504,0.0988377522984305,0.1674621153279845,0.012873782804710599,0.013444462414951711,0.014629428512888959
2020-05-26,AZO,65.35767,69.61202,67.96635,-1.68273,2255409000.0,2646363000.0,12074436000.0,1557745000.0,12902131000.0,381683000.0,509118000.0,-1632736000.0,-1938109000.0,5602548000.0,7133055000.0,305373000.0,651464000.0,83325000.0,27.3402719489676,531602000.0,12520448000.0,-1.381367839013778,5.909115679765669,0.1801380429837654,0.1748090296091397,0.186792078735603,5093430000.0,1.924690603670018,0.1244160752075325,0.1207354816037753,0.1290118229952935,-0.399001430727319,0.0520320039666312,0.050492744183112,0.0539539900662855,0.0913302925604807,-0.3255896850439997,0.042458704353071,0.0412026509419257,0.0440270667714831,0.0745265527883915,66680.49603174604,74842.76984126984,79237.31746031746,26122.7496031746,22911.32873015873,24883.03436507937,0.0138798803671359,-0.0660905357633688,0.0190171706942078,0.0932714343073364,0.0961149925236084,0.0881084535450471,xxx,285.0,,14.6485574909118,28.6601806779106,48.2285450467509,,0.2647436968917498,0.07721697499058289,-0.008012820861156511,0.025946074620258833,0.03458051943711164,0.04704819146399024
2020-09-22,AZO,73.77228,73.77228,72.0734,8.41461,2501579000.0,2899045000.0,12631968000.0,1732973000.0,14423872000.0,440015000.0,1750815000.0,-877977000.0,-1182065000.0,5736724000.0,8140781000.0,304088000.0,1417000000.0,183848000.0,59.3085551649088,1334733000.0,13983857000.0,-2.849253454247662,5.685213004102133,0.178890487796035,0.1734332501009437,0.1980355713377361,3985909000.0,1.3749041494699117,0.1239266820305728,0.1201461715689102,0.1371894703976451,-1.6139374949457674,0.1013311277425105,0.0982399178251165,0.1121757116547477,0.1740619235427166,-1.5202368626968588,0.0954481299401159,0.0925363869008266,0.1056631080762712,0.1639563820719412,63195.32936507936,54536.0873015873,46922.52380952381,26101.521746031744,27606.26746031746,26021.50880952381,0.0266571012921258,-0.031607941880699,0.0323314759490826,0.1431214476503603,0.0387375459910137,0.0639048318417809,xxx,284.0,,14.2515404638651,27.6731952030544,45.2687743543699,,,0.02245637229422015,0.16009122708336987,0.02588112617413525,0.02078014908949983,0.011427885040792896
2020-12-08,AZO,78.14994,78.14994,76.37662,4.37766,2616781000.0,3014048000.0,12993191000.0,1825068000.0,14568574000.0,429654000.0,1664005000.0,-1026980000.0,-1329625000.0,5747795000.0,8111871000.0,302645000.0,683491000.0,115404000.0,28.7446799562621,554301000.0,14138920000.0,-2.548035015287542,6.09043788723019,0.1850764414820934,0.1796181973609771,0.2013963313553999,4083790000.0,1.3549187006975336,0.1290811462261615,0.1252743061881005,0.140463416569494,-0.6655348692282226,0.048341103846687,0.0469154359239277,0.0526037830121946,0.0842581199824306,-0.5397388459366297,0.0392039137359854,0.0380477183285062,0.042660882919369,0.0683320777660295,62979.99603174603,52281.619047619046,56912.73015873016,25899.45297619048,26955.849841269843,27152.3076984127,0.0171338213305238,-0.0397712011310671,0.020571964123825,0.1054725411502793,-0.0606148683656549,-0.1232080078124999,xxx,283.0,,13.3856393131696,24.4252661470008,47.2040895486619,,,0.15140655020131755,0.25414469251031657,0.026273120644935002,0.013120529929263542,0.01443311912914294
2021-03-02,AZO,80.72726,80.72726,78.92118,2.57732,2730510000.0,3131583000.0,13390346000.0,1871732000.0,14159993000.0,453181000.0,1026164000.0,-1523573000.0,-1826218000.0,5741806000.0,7355722000.0,302645000.0,356356000.0,125608000.0,15.381388121547,215875000.0,13706812000.0,-1.7921753667202032,6.02520847078761,0.1992082476946499,0.1928327224455548,0.2039163140369935,4715642000.0,1.5058333117787397,0.1365548750504493,0.1321845286222952,0.13978219830914,-0.2338949298786471,0.0259984597439579,0.0251663966218062,0.026612904550786,0.0484460940747896,-0.1416899616887408,0.015749468220619,0.015245417141096,0.0161216894619451,0.0293479008586784,63498.84920634921,65990.57936507936,79082.98412698413,26172.78662698413,27177.70476190476,27117.131507936505,0.0132562974230692,-0.0583817614129312,0.0169304401072994,0.0944691341646089,0.0766521688283481,0.1515453591574598,xxx,282.0,,13.8524931151282,25.9244118609872,49.9349638370747,,,0.1956355725304555,,0.02660134893492375,0.01607306481631168,0.0183015054901281
