,date,Instrument,eps_basic,eps_excl_basic,eps_dil,eps_growth,ebit,ebitda,rev,net_inc,tot_assets,oth_assets,cash,book_val,tang_book,debt,lt_cap,intang,ocf,capex,cfo_ps,fcfe,noa,ebit_bv,ebit_nonop,ebit_op,ebit_tot,ebit_mgn,net_debt,nd_ebitda,ni_op,ni_tot,ni_mgn,ocf_bv,ocf_op,ocf_tot,ocf_mgn,ocf_ce,fcf_bv,fcf_op,fcf_tot,fcf_mgn,fcf_ce,12m_volume,6m_volume,3m_volume,12m_avg_mkt_cap,3m_avg_mkt_cap,6m_avg_mkt_cap,e_p,b_p,ebit_ev,rev_ev,90 days,1_yr,fwd_ret,Unnamed: 0.1,roe,roa,roce,roic,d_e,1yr_ret,3m_ret,6m_ret,1yr_vol,6mth_vol,3mth_vol,quarter
179,2020-05-06,ALB,4.77983,4.77983,4.76592,-0.25328,661956000.0,879851000.0,3496208000.0,506863000.0,9847638000.0,233360000.0,553228000.0,4041525000.0,2137909000.0,3140840000.0,8654712000.0,1903616000.0,155054000.0,214529000.0,1.45574207601021,38653000.0,9614278000.0,0.1637886688811772,2.8366300994172096,0.0688513479639344,0.0672197739193906,0.1893354171147712,2587612000.0,2.940966140857941,0.0527198194185772,0.0514705150615812,0.1449750701331271,0.0383652210489852,0.0161274720785065,0.0157452985172688,0.0443491920389175,0.0179155585997546,0.0095639640977106,0.0040203746968831,0.0039251036644523,0.0110556923386709,0.0044661220384918,438550.7619047619,517348.98412698414,568118.6984126985,7343.185555555556,7330.194126984126,7503.576507936507,0.0178876648372354,0.6470694730556567,0.0157193590551052,0.0844943424471224,-0.3479958677758065,-0.1844440580636471,xxx,108.0,13.4263400632401,6.50686562783951,7.5614082572956,8.64520061467254,77.71423,1.6752322429117623,0.5364860612096003,0.6996000912463525,0.0345694144010132,0.0419900087122831,0.0540436118243059,2_2020
187,2020-04-29,ALGN,23.99292,23.99292,23.85112,18.41694,466918000.0,543968000.0,2408788000.0,1889059000.0,3964840000.0,1577707000.0,790696000.0,2852989000.0,2779238000.0,0.0,3054154000.0,73751000.0,9784000.0,46085000.0,0.123804221288657,-36301000.0,2387133000.0,0.1636592359802298,0.295947219604147,0.1955978154547735,0.1177646512847933,0.1938393914283863,-790696000.0,-1.453570798282252,0.7913505447748408,0.4764527698469547,0.7842363047308439,0.0034293858125635,0.0040986405030637,0.0024676910039244,0.0040617937319515,0.003203505782616,-0.0127238485672394,-0.0152069449000118,-0.0091557288566499,-0.0150702344913707,-0.0118857791715807,393668.0238095238,357862.5555555556,446080.07936507935,18918.28071428572,16476.029682539684,19033.870873015872,0.1108118582721396,0.2082462005716064,0.0042038421247736,0.0426792730397033,-0.1568042940191264,-0.2575063558601652,xxx,116.0,91.954254065709,60.9445628275587,84.263398532462,90.6987580252546,0.0,1.7397770506790602,0.3611387602777018,1.0631516572678716,0.0398379507702363,0.0449642902307012,0.0616070130170902,2_2020
203,2020-05-05,ALL,12.12972,13.03709,12.81286,-2.17508,6195000000.0,6840000000.0,43583000000.0,3930000000.0,116107000000.0,4469000000.0,338000000.0,24173000000.0,21629000000.0,6633000000.0,24173000000.0,2544000000.0,1027000000.0,65000000.0,3.18548387096774,962000000.0,111638000000.0,0.2562776651636123,1.3862161557395392,0.0554918576112076,0.0533559561439017,0.1421425785283252,6295000000.0,0.9203216374269004,0.0352030670560203,0.0338480884012161,0.0901727737879448,0.042485417614694,0.0091993765563696,0.0088452892590455,0.02356423376087,0.042485417614694,0.0397964671327514,0.0086171375338146,0.0082854608249287,0.0220728265608149,0.0397964671327514,539698.7698412698,617285.9365079365,766511.6349206349,34312.642857142855,32200.8407936508,34417.93857142857,0.01767511091946,0.7649912041808418,0.0355602152751806,0.264583019536148,-0.1441908908382678,0.062848845725328,xxx,316.0,19.3083243688632,3.78717001306367,18.457271332815,14.3839141780505,27.43971,0.277891712373882,-0.0526214703872647,-0.0999624492911533,0.0249258942810799,0.0332503724660118,0.046598297212756,2_2020
211,2020-04-23,ALLE,3.4478,3.4478,3.42216,-0.84437,583300000.0,665400000.0,2873700000.0,322000000.0,2757700000.0,268200000.0,245300000.0,613800000.0,-644500000.0,1431400000.0,2301000000.0,1258300000.0,30800000.0,11800000.0,0.330117899249732,22200000.0,2489500000.0,0.9503095470837406,2.174869500372856,0.2343040771239204,0.2115168437466004,0.2029787382120611,1186100000.0,1.78253681995792,0.129343241614782,0.1167639699749791,0.1120506663882799,0.050179211469534,0.0123719622414139,0.011168727562824,0.0107178898284441,0.0133854845719252,0.0361681329423264,0.0089174533038762,0.0080501867498277,0.0077252322789435,0.0096479791395045,217400.9047619048,229340.69047619047,270090.1111111111,10224.170634920634,10287.114603174605,10823.766031746032,4.69422959926896e-05,0.0717395638508278,0.0126471466229061,0.0694872135706417,-0.2899445456134526,-0.0045656143061153,xxx,132.0,51.7269076305221,11.5966537735,13.9632614158219,17.4018679544957,233.203,0.4723777730091336,0.0814830053009016,0.0991608723840251,0.0248028418268261,0.0330504845983755,0.044399222528922,2_2020
219,2020-05-06,ALXN,10.6765,10.6765,10.61246,-0.11065,2294000000.0,2662900000.0,5254300000.0,2374000000.0,18148500000.0,2654400000.0,2362800000.0,11747800000.0,2488100000.0,2470000000.0,17028600000.0,9259700000.0,549600000.0,12200000.0,2.46900269541779,504800000.0,15494100000.0,0.1952706038577435,0.8642254370102471,0.1480563569358659,0.1264016309887869,0.4365947890299373,107200000.0,0.0402568628187314,0.1532196126267418,0.1308097087913601,0.4518204137563519,0.0467832274979145,0.0354715665963173,0.0302834945036779,0.104600041870468,0.0322751136323596,0.0429697475271965,0.0325801434094268,0.0278149709342369,0.0960736920236758,0.0296442455633463,780489.7261904762,866386.8412698413,1068655.2063492064,23946.580714285712,21141.73603174604,22667.834206349205,0.0279605838005423,0.5890877804376102,0.0356765951809713,0.0714928443064508,-0.0344965763568492,-0.2862617809149066,xxx,148.0,22.1306585129391,14.7691465436527,15.7822658919573,18.5376492223092,21.02521,0.7540273340953274,0.0610285407435209,0.2083849759221845,0.0265553183435948,0.0275981242667758,0.0334775050643982,2_2020
227,2020-05-14,AMAT,3.1713,3.1713,3.14015,0.11633,3682000000.0,4048000000.0,15435000000.0,2916000000.0,21815000000.0,2036000000.0,5704000000.0,9024000000.0,5466000000.0,6815000000.0,17050000000.0,3558000000.0,635000000.0,71000000.0,0.687973997833153,2062000000.0,19779000000.0,0.40802304964539,1.8084479371316309,0.1861570352393953,0.168782947513179,0.2385487528344671,1111000000.0,0.2744565217391304,0.14742909146064,0.1336694934677973,0.1889212827988338,0.0703679078014184,0.0321047575711613,0.0291084116433646,0.0411402656300615,0.0372434017595307,0.2285017730496454,0.1042519844279286,0.0945221178088471,0.1335924846128927,0.1209384164222873,2996338.0634920634,3278829.4523809524,4026623.4285714286,48362.47138888889,47093.80412698413,51442.42984126984,0.0158903522428495,0.1899265412443369,0.0200517822991298,0.0813793872386225,-0.164731261276641,0.3278721490643046,xxx,268.0,33.8577648766328,14.3680709534368,18.1005586592179,21.2084923797042,75.52083,1.3214389114173517,0.200240740522281,0.3169345138307833,0.0367917852483546,0.0474062701416816,0.0631896922450386,2_2020
246,2020-04-28,AMD,0.42939,0.41798,0.41007,0.12313,770000000.0,1014000000.0,7245000000.0,487000000.0,5864000000.0,172000000.0,1385000000.0,3037000000.0,2554000000.0,488000000.0,3879000000.0,483000000.0,-65000000.0,55000000.0,-0.053104575163399,-120000000.0,5692000000.0,0.253539677313138,4.476744186046512,0.1352775825720309,0.1313096862210095,0.1062801932367149,-897000000.0,-0.8846153846153846,0.0855586788475052,0.0830491132332878,0.0672187715665976,-0.0214027000329272,-0.0114195361911454,-0.0110845839017735,-0.0089717046238785,-0.0167568961072441,-0.0395126769838656,-0.0210822206605762,-0.0204638472032742,-0.0165631469979296,-0.0309358081979891,13507643.984126983,13222797.253968254,15942350.634920634,43223.990436507935,57429.99888888889,53001.51436507936,0.0029703896164172,0.0556856374386373,0.0033742657247189,0.0332952407975033,0.0985553069966969,1.0090481363587949,xxx,245.0,19.6476683937824,8.78184344603983,13.4544422367301,14.5986400722903,16.06849,0.5136011382380772,0.2179787903925152,0.4813548161293184,0.0364780597797923,0.040748130064804,0.0536025546112277,2_2020
254,2020-05-05,AME,4.10653,4.10653,4.07667,0.32519,1170061000.0,1412670000.0,5073084000.0,937645000.0,10601946000.0,73820000.0,1253382000.0,5326003000.0,-1517834000.0,3252590000.0,9124275000.0,6843837000.0,270752000.0,16931000.0,1.17273640805295,776072000.0,10528126000.0,0.2196883854552841,15.85018965050122,0.1111366828246546,0.1103628522537277,0.2306409671119185,1999208000.0,1.4151981708396155,0.0890609591868486,0.0884408390686011,0.184827414645608,0.0508358707270724,0.02571701744451,0.0255379531267184,0.0533702970421936,0.0296738096999487,0.1457137744759062,0.0737141633753243,0.0732009010421294,0.152978346110571,0.085055744155015,397240.68253968254,465893.3492063492,606107.6031746032,20395.402182539685,18648.5207936508,20675.025555555552,0.0170005659389699,0.3226653690190567,0.0149531906058246,0.0649655058028926,-0.1864477383407136,-0.0532805957719934,xxx,12.0,19.1696011213351,9.62011352646064,11.0255853974447,13.0136751054862,61.07,0.697742344848814,0.1660664568325125,0.2643963411034138,0.0275056331527658,0.0366749309743155,0.0514172029206287,2_2020
262,2020-04-30,AMGN,12.84033,12.84033,12.76622,-0.10935,9557000000.0,12165000000.0,23966000000.0,7675000000.0,61669000000.0,6277000000.0,8012000000.0,9485000000.0,-23851000000.0,31848000000.0,49842000000.0,33336000000.0,2134000000.0,142000000.0,3.59259259259259,3705000000.0,55392000000.0,1.0075909330521875,1.522542615899315,0.1725339399191219,0.1549725145535034,0.3987732621213385,23836000000.0,1.9593916974928072,0.1385579145002888,0.1244547503607971,0.3202453475757323,0.2249868212967844,0.0385254188330444,0.0346040960612301,0.0890428106484186,0.0428152963364231,0.3906167633104902,0.0668869150779896,0.0600788078288929,0.1545940081782525,0.0743348982785602,1143853.642857143,1184118.261904762,1432128.8412698412,123750.34682539682,126824.49047619048,132793.28968253967,0.0153159149322697,0.0796007962370296,0.0164693261962736,0.043085995199678,0.065302412323309,0.373744293397213,xxx,189.0,75.5524929861692,12.2149189120367,15.1780328873859,20.6564594333507,335.77227,0.0297891821163085,0.0358918259173643,-0.083254601612651,0.0220075844693543,0.0277892574925142,0.0382106235472623,2_2020
278,2020-04-29,AMT,4.30352,4.30352,4.27434,0.03626,3095700000.0,4909500000.0,7760000000.0,1905400000.0,40789100000.0,2042600000.0,1326000000.0,4064600000.0,-13484800000.0,24577400000.0,35093300000.0,17549400000.0,800000000.0,214400000.0,1.79439788978808,1089200000.0,38746500000.0,0.7616247601239975,1.515568393224322,0.0798962486934303,0.0758952759438183,0.398930412371134,23251400000.0,4.736001629493838,0.0491760546113842,0.0467134602136355,0.245541237113402,0.1968213354327609,0.02064702618301,0.019613082906953,0.1030927835051546,0.0227963742366776,0.2679722481917039,0.0281109261481682,0.0267032123778166,0.140360824742268,0.0310372635232366,544924.1587301587,639039.5793650794,806416.6666666666,98562.06765873016,104862.28222222225,101532.56031746032,0.0042977729572569,0.0376381350261559,0.0057035398438797,0.0165012705223353,-0.0338860904573715,0.2486310729556546,xxx,188.0,42.4299107043445,4.83617446456729,5.58569209727148,9.58890668448287,604.66959,0.0785406280754095,0.1503957292293249,0.0062855482906674,0.0261648768968474,0.0348473247497004,0.0478867224808227,2_2020
286,2020-04-30,AMZN,21.31472,21.31472,20.93399,-2.16219,14109000000.0,36406000000.0,296273000000.0,10562000000.0,221238000000.0,16218000000.0,49292000000.0,65272000000.0,50533000000.0,51067000000.0,141527000000.0,14739000000.0,3064000000.0,6795000000.0,6.05533596837945,-4955000000.0,205020000000.0,0.2161570045348694,0.8699593044765076,0.068817676324261,0.0637729503973096,0.0476216192498135,1775000000.0,0.0487556996099544,0.0515169251780314,0.0477404424194758,0.0356495529461003,0.0469420272092168,0.0149448834260072,0.0138493387211961,0.0103418131250569,0.0216495792322313,-0.075913102095845,-0.0241683738171885,-0.0223966949619866,-0.0167244399590917,-0.0350109873027761,1198695.099206349,1349418.5476190476,1830406.619047619,934162.8234126983,1023278.0571428572,963193.1349206348,0.0026118107989593,0.0672497492977013,0.0036848265754247,0.077596297730658,0.3225137003477609,0.3005651202523327,xxx,44.0,18.5816576063053,5.28972805128462,8.25369040455742,11.1872664923039,78.23722,0.4015440266269199,0.2335811975798303,0.2784074491903294,0.0193934163213038,0.023708367298245,0.0318967905322313,2_2020
302,2020-05-06,ANSS,4.85445,4.8485,4.75534,-0.49255,453464000.0,516784000.0,1503747000.0,411129000.0,4526085000.0,175263000.0,718030000.0,3292350000.0,435530000.0,423607000.0,3988943000.0,2856820000.0,147412000.0,6987000.0,1.68723460266227,65425000.0,4350822000.0,0.1377326225948031,2.5873344630640807,0.1042249027884845,0.1001890154515436,0.301556046329602,-294423000.0,-0.5697215858076101,0.0944945575801538,0.0908354571334829,0.2734030392080582,0.0447740975291205,0.0338814136730944,0.0325694281039794,0.0980297882556041,0.036955153282461,0.019871824077027,0.0150373883371923,0.0144550975070066,0.0435079837233258,0.0164015880898774,224880.94444444444,281703.373015873,328998.507936508,19582.94773809524,21363.7473015873,21616.84547619048,0.0023153705288738,0.1654873688940999,0.0017448579994001,0.0155601028347087,-0.007846312217445,0.3924991687364039,xxx,100.0,13.7409229225809,10.3978452202916,11.9755384966249,13.0978317270319,12.8664,0.240944509169845,0.1648822340501345,0.1784608312411104,0.0274988465339235,0.0351170437312574,0.0483957396829996,2_2020
310,2020-04-29,ANTM,18.79698,18.79698,18.47548,0.0014,6980000000.0,8345000000.0,109262000000.0,4779000000.0,82399000000.0,5053000000.0,5345000000.0,31693000000.0,419000000.0,21683000000.0,31693000000.0,31274000000.0,2515000000.0,204000000.0,9.80889235569423,3839000000.0,77346000000.0,0.2202379074243523,1.3813576093409856,0.0902438393711374,0.0847097658952171,0.0638831432703044,16338000000.0,1.9578190533253448,0.0617872934605538,0.057998276678115,0.0437389028207428,0.0793550626321269,0.0325162257906032,0.0305222150754256,0.0230180666654463,0.0793550626321269,0.1211308490833938,0.0496341116541256,0.0465903712423694,0.0351357287986674,0.1211308490833938,398092.9166666667,448167.6587301588,537252.0158730159,69469.02456349207,64848.55238095239,69566.33666666667,0.0266048328122013,0.5536355655397885,0.0324802230537312,0.4033255480287183,0.0320408827473082,0.1321597630508257,xxx,309.0,15.4933458689274,6.09092415340105,15.4933458689274,10.4569609894919,68.41574,0.3828587851532705,0.0065668167248191,0.0722975250846764,0.0322521638706057,0.042732185965153,0.0583408671136485,2_2020
318,2020-05-01,AON,6.99237,7.00089,6.94414,0.58957,2703000000.0,3268000000.0,11089000000.0,1645000000.0,30282000000.0,1976000000.0,6054000000.0,3260000000.0,-5779000000.0,8185000000.0,13171000000.0,9039000000.0,338000000.0,59000000.0,1.44136460554371,998000000.0,28306000000.0,0.8291411042944785,1.367914979757085,0.09549212181163,0.0892609470972855,0.2437550725944629,2131000000.0,0.6520807833537332,0.0581148873030452,0.0543226999537679,0.148345206961854,0.103680981595092,0.0119409312513248,0.0111617462518988,0.0304806565064478,0.0256624402095512,0.3061349693251534,0.0352575425704797,0.032956872069216,0.0899990982054288,0.0757725305595626,332593.84523809527,410489.4682539682,570334.5079365079,45860.73111111111,44553.68349206349,46371.70349206349,0.0202446393042863,0.0831026709265331,0.0256965883442199,0.0797659767406404,-0.1887818906299408,0.0006600418692177,xxx,172.0,41.4652567975831,5.68860763754481,12.1718463034319,16.7507730858067,251.07362,0.429382320627852,0.1540107314997223,0.0504297895747269,0.0233013598087079,0.0307849648396128,0.0430118641411852,2_2020
