Instrument,Original Announcement Date Time,ebit_ev,rev_ev
UDR,2019-02-12T22:17:52Z,0.012817358243564166,0.0174765359994503
UDR,2018-10-29T20:16:00Z,0.0034622271780536764,0.016967444161450965
UDR,2018-07-30T16:00:00Z,0.0036471949753913574,0.017578041016330086
UDR,2018-04-25T17:00:00Z,0.008314212849428626,0.017912088230799806
UDR,2018-02-06T17:00:00Z,0.007402373100992666,0.01687273743975758
UDR,2017-10-30T17:00:00Z,0.0033243114400658383,0.016908150865913896
UDR,2017-07-26T16:00:00Z,0.0030497027646157653,0.016451212570516703
UDR,2017-04-24T06:48:59Z,0.004032956542767002,0.01718930530230464
UDR,2017-01-30T07:46:00Z,0.005948872587230721,0.01722436380366456
UDR,2016-10-25T21:16:00Z,0.004340648450127049,0.01724125041704585
UDR,2016-07-26T20:16:00Z,0.003050260969970264,0.01670013335111018
AMT,2021-04-29T11:00:00Z,0.007229506584953681,0.016059370138543295
AMT,2021-02-25T12:00:01Z,0.007778869332025705,0.016590283518111495
AMT,2020-10-29T11:08:19Z,0.005624351352979725,0.015319698022209591
AMT,2020-07-30T11:00:01Z,0.005193416529511075,0.013785216901560548
AMT,2020-04-29T11:00:00Z,0.005703539843879784,0.016501270522335312
AMT,2020-02-25T12:06:08Z,0.007110612118074616,0.015281738947089864
AMT,2019-10-31T11:00:01Z,0.007148045221315417,0.01639593888031208
AMT,2019-07-31T11:00:00Z,0.006329818958390936,0.01696330435934692
AMT,2019-05-03T11:00:00Z,0.006211176755789932,0.016726088400578355
AMT,2019-02-27T12:06:56Z,0.00439691657925567,0.023376026073105145
AMT,2018-10-30T11:00:00Z,0.006880014443126723,0.02082078947153011
AMT,2018-07-31T17:00:00Z,0.0063703948963025,0.02083952290746716
AMT,2018-05-01T17:00:00Z,0.006720272025371708,0.020321822593389653
AMT,2018-02-27T17:00:00Z,0.006114126303581259,0.020710418007585035
AMT,2017-10-31T17:00:00Z,0.00710107326185793,0.021311524956458064
AMT,2017-07-27T12:00:00Z,0.0077027104955481596,0.02175206996532325
AMT,2017-04-27T12:00:00Z,0.007813745893952668,0.022524167995973236
AMT,2017-02-27T12:07:00Z,0.007284671752780318,0.023994670758068434
AMT,2016-10-27T16:00:00Z,0.0069120119015578345,0.022429975684138386
AMT,2016-07-28T17:00:00Z,0.0060112760077506155,0.02130317316231939
HD,2021-05-18T10:03:57Z,0.015324842679550777,0.0994086837023273
HD,2021-02-23T11:00:07Z,0.013658119083637317,0.10053036270983881
HD,2020-11-17T11:00:19Z,0.016915149204547106,0.1089639730548774
HD,2020-08-18T10:00:02Z,0.021374863799597524,0.12425568166301323
HD,2020-05-19T10:00:05Z,0.015746734762494767,0.10790560727160574
HD,2020-02-25T11:26:03Z,0.012233589781207884,0.0926848109724072
HD,2019-11-19T11:00:11Z,0.013760254240277707,0.0949063595599392
HD,2019-08-20T10:00:04Z,0.01888468530490469,0.1189511458574256
HD,2019-05-21T10:00:12Z,0.014530762032391217,0.10657104063845224
HD,2019-02-26T11:22:33Z,0.0153134592548766,0.11240477947379773
HD,2018-11-13T11:00:06Z,0.017505377846376752,0.11897324240708045
HD,2018-08-14T10:00:04Z,0.019649777105391907,0.12213653539309399
HD,2018-05-15T17:00:00Z,0.014258026221899173,0.10520407576389194
HD,2018-02-20T17:00:00Z,0.012014668686829919,0.08998003519835651
HD,2017-11-14T17:00:00Z,0.016780410604700223,0.11411591190033364
HD,2017-08-15T11:00:00Z,0.022634740614188655,0.14255372825086593
HD,2017-05-16T01:30:00Z,0.0161885604173204,0.11546615189266421
HD,2017-02-21T11:08:00Z,0.015440108477587833,0.1171433170351189
HD,2016-11-15T17:00:00Z,0.019304099300862743,0.13462864916029396
HD,2016-08-16T11:00:00Z,0.0217208814188656,0.14014018350480384
LVS,2021-04-21T20:05:09Z,-0.0018553371366313005,0.02017257468555487
LVS,2021-01-27T21:10:05Z,-0.0035682791544886876,0.01975482082629969
LVS,2020-10-21T20:24:08Z,-0.011629107623780832,0.012256577459596343
LVS,2020-07-22T20:03:01Z,-0.01982448810891224,0.002111738950731956
LVS,2020-04-22T20:11:45Z,0.001113079587309897,0.03285903698371092
LVS,2020-01-29T21:01:11Z,0.016562520733351165,0.05604424807457014
LVS,2019-10-23T20:05:12Z,0.016801567218481285,0.06047075687714748
LVS,2019-07-24T20:05:07Z,0.016710846046091143,0.06095619334536966
LVS,2019-04-17T20:05:05Z,0.01712287074015148,0.06523509583969937
LVS,2019-01-23T21:05:05Z,0.018299377777305077,0.07065593086237239
LVS,2018-10-24T20:05:06Z,0.017123194766241676,0.06142490718273078
LVS,2018-07-25T17:00:00Z,0.013712643900842918,0.04854540493513843
LVS,2018-04-25T17:00:00Z,0.017562938565484427,0.05528386730507367
LVS,2018-01-24T16:00:00Z,0.01591026901645544,0.053576685436743196
LVS,2017-10-25T17:00:00Z,0.014431915745043176,0.053231371843735685
LVS,2017-07-26T17:00:00Z,0.01339895105270941,0.05239916833065856
LVS,2017-04-26T17:00:00Z,0.013473097410158518,0.05652802976327794
LVS,2017-01-25T17:00:00Z,0.01572610847579885,0.057306195980607454
LVS,2016-11-03T17:00:00Z,0.013596508817075678,0.05405271038480628
LVS,2016-07-25T17:00:00Z,0.011924181200815448,0.0605830265028081
IP,2021-04-29T11:22:09Z,0.02215954053106997,0.22723062307481504
IP,2021-02-04T12:16:27Z,0.01787748213618068,0.2359197201799763
IP,2020-10-29T11:17:11Z,0.026262119230489614,0.2680096350952157
IP,2020-07-31T17:10:32Z,0.018121117153572258,0.2166519805142079
IP,2020-04-30T11:08:57Z,0.026415542817980406,0.25200710367527834
IP,2020-01-30T12:32:36Z,0.023026828181252307,0.201274246964269
IP,2019-11-01T18:10:31Z,0.024094616502124057,0.21328906944964507
IP,2019-07-25T11:22:37Z,0.022673309981559316,0.20858709036606599
IP,2019-04-25T11:21:08Z,0.019768215639551143,0.19639443812321672
IP,2019-01-31T12:29:18Z,0.0188401225710028,0.22513568156634073
IP,2018-10-25T11:24:31Z,0.026628563306382226,0.19447419810762565
IP,2018-07-26T11:21:46Z,0.02028005586828006,0.18227051753417195
IP,2018-04-26T17:00:00Z,0.015857795565993427,0.17375568981763947
IP,2018-02-01T17:00:00Z,0.012352452562380331,0.16756498000891704
IP,2017-10-25T16:00:00Z,0.017493045215487273,0.15847147857773938
IP,2017-07-27T17:00:00Z,0.01373287950970901,0.16035594447020302
IP,2017-04-27T17:00:00Z,0.01129062244289461,0.16414581976468876
IP,2017-02-02T12:25:00Z,0.008157423670514287,0.11822037281275859
IP,2016-10-27T11:23:00Z,0.019794598119753763,0.18747905341479013
IP,2016-07-28T11:59:00Z,0.00557731693498569,0.20756979530065622
TROW,2021-04-29T15:17:07Z,0.026675609116644867,0.04968322121060209
TROW,2021-02-11T18:58:29Z,0.03399855949407028,0.05327450199053374
TROW,2020-10-29T15:51:08Z,0.032623221425825716,0.057736545382740555
TROW,2020-07-29T14:34:13Z,0.035703904738567584,0.05453616663102014
TROW,2020-04-28T20:26:00Z,0.009316710983780003,0.06280670591144923
TROW,2020-01-29T13:08:55Z,0.026979070738193816,0.05364171361753636
TROW,2019-10-24T16:16:13Z,0.027213885045004032,0.05535789432965503
TROW,2019-07-24T16:23:39Z,0.02939934923188153,0.05594821389320741
TROW,2019-04-24T16:13:07Z,0.03206517861566564,0.05924120254850196
TROW,2019-01-30T12:40:05Z,0.017424951029021286,0.06060650611106817
TROW,2018-10-25T11:35:50Z,0.030231153656148584,0.05507559358440864
