Date,Instrument,e_p,b_p,ebit_ev,rev_ev,90 days,1_yr,fwd_ret,Timeframe,quartiles,GICS Sector,x0_Communication Services,x0_Consumer Discretionary,x0_Consumer Staples,x0_Energy,x0_Financials,x0_Health Care,x0_Industrials,x0_Information Technology,x0_Materials,x0_Real Estate,x0_Utilities
2019-07-16,PLD,0.0075956944059671,0.4405975378557296,0.0076251188678988,0.0122331142809623,0.1269946169200984,0.321792970919041,xxx,3-2019,xxx,Real Estate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2019-07-16,DPZ,0.0080062850809997,-0.2517625967448365,0.0093371894290021,0.0545518149513136,-0.1281153437830252,-0.1010203133673967,xxx,3-2019,xxx,Consumer Discretionary,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-07-16,FRC,0.0128223134487379,0.5060835261881683,0.0104966766552882,0.031294183357742,-0.0727034703989698,-0.0286297976924216,xxx,3-2019,xxx,Financials,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-07-16,JPM,0.0253449235256928,0.6513303443305286,0.0169788058367071,0.0427736159309281,0.0424873222772863,0.1150392115219733,xxx,3-2019,xxx,Financials,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-07-16,UAL,0.0456657104807045,0.4479754107993068,0.0483725597252759,0.3551474088780401,0.1027357072691641,0.2933075546236579,xxx,3-2019,xxx,Industrials,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2019-07-17,USB,0.0208692779103326,0.5625355215703611,0.0178221915663938,0.0400901472125907,0.0777326909894748,0.1014792212618822,xxx,3-2019,xxx,Financials,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-07-17,CMA,0.0265220173114732,0.6539418611849099,0.0208556298980218,0.0411695551233677,-0.1200549303936499,-0.2219632257530688,xxx,3-2019,xxx,Financials,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-07-17,BAC,0.0257817303031987,0.8947591389330285,0.0153979078715794,0.0366016399279571,-0.0178135682673733,0.0008664950778236,xxx,3-2019,xxx,Financials,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-07-17,EBAY,0.0116774471785924,0.1192726321276129,0.0162985352421358,0.0617052357682735,0.068501293995776,0.0363230265029805,xxx,3-2019,xxx,Consumer Discretionary,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-07-17,PNC,0.0210090145247474,0.7317494621219459,0.011464603305011,0.0309801920770241,0.0601897646615634,0.0401112495402407,xxx,3-2019,xxx,Financials,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-07-17,TXT,0.0175769554213495,0.4322149038171487,0.0206958027565363,0.2074079363209403,-0.0982839260681873,-0.2632153698766116,xxx,3-2019,xxx,Industrials,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2019-07-17,CCI,0.003469155060742,0.2032223653401736,0.0055545551773504,0.020245444185456,0.0688999854143608,0.236196848631546,xxx,3-2019,xxx,Real Estate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2019-07-17,ABT,0.0067804540934144,0.2135640839005282,0.0074394603662512,0.048535939707538,0.1811357490885843,0.3465833956392774,xxx,3-2019,xxx,Health Care,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2019-07-17,NFLX,0.0016852466890187,0.0380171976783482,0.0037576272662013,0.0291593330531909,0.0082902438579193,-0.0949860355108221,xxx,3-2019,xxx,Communication Services,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-07-17,PGR,0.0208385172038283,0.2750097270420724,0.0249680476131005,0.1826574172594331,0.039310861094181,0.406194026372064,xxx,3-2019,xxx,Financials,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-07-17,IBM,0.0204305209359647,0.1443140680204553,0.0264017017115007,0.1284619112478581,-0.0025526844233751,0.0373924957273736,xxx,3-2019,xxx,Information Technology,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2019-07-17,CSX,0.0138966552115966,0.1960865969857016,0.017350467996305,0.0399321673208193,-0.0563656947041435,0.1216614743248334,xxx,3-2019,xxx,Industrials,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2019-07-17,KMI,0.0108955635074986,0.7115543445586469,0.0133948679162109,0.0380131009322602,0.0587930008804689,0.2138167800268644,xxx,3-2019,xxx,Energy,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-07-17,OMC,0.0205456648817957,0.1335828473107746,0.0265434288598598,0.1721043170174424,0.0121833335925241,0.1936259997494045,xxx,3-2019,xxx,Communication Services,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-07-17,BK,0.0228270605384649,0.8986765356651022,0.0593879463034019,0.1783024878120814,-0.0821938071811145,-0.1442931500804991,xxx,3-2019,xxx,Financials,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-07-17,URI,0.0258920416120832,0.3335278545437978,0.0240385545959933,0.1038646981600468,0.0455630030184517,-0.1511845433819054,xxx,3-2019,xxx,Industrials,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2019-07-18,DOV,0.0136028615289057,0.2029438987979442,0.0163081270581248,0.1031458873745453,-0.0004171891686803,0.2719907763990119,xxx,3-2019,xxx,Industrials,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2019-07-18,MSFT,0.0128464272299851,0.0996871842302556,0.0133625806701848,0.0347081220596736,0.095312148403617,0.3279238999355018,xxx,3-2019,xxx,Information Technology,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2019-07-18,MS,0.0275581538648707,0.9932875901152128,0.0095286018541232,0.0429689723983215,-0.0735581362245559,-0.0979928764029252,xxx,3-2019,xxx,Financials,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-07-18,MTB,0.0194803334158504,0.6223421924703172,0.017639781499474,0.0390720889501933,0.0003040290907518,-0.0448826563567771,xxx,3-2019,xxx,Financials,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-07-18,UNP,0.0131158482385503,0.1518013237851578,0.016065846927007,0.038902846994172,-0.0084791912228515,0.2673478499583213,xxx,3-2019,xxx,Industrials,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2019-07-18,HON,0.012128464263053,0.1406461105650607,0.0159558352200654,0.069239335652143,0.0335160946412658,0.2094184354347283,xxx,3-2019,xxx,Industrials,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2019-07-18,UNH,0.0142005012365348,0.2289976365513848,0.0178766420728966,0.2283379271515956,0.1846216984517275,0.0567027121271741,xxx,3-2019,xxx,Health Care,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2019-07-18,TFC,0.022374144983628,0.7613055270557533,0.0158832322674838,0.0413214387624295,0.0427993140391986,0.0433577320311784,xxx,3-2019,xxx,Financials,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-07-18,COF,0.0359764672953853,1.2064202571780014,0.0220061071180607,0.0746537682811897,0.0125537652257625,-0.0522800951265961,xxx,3-2019,xxx,Financials,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-07-18,NUE,0.0228688021894103,0.6133676155366897,0.0282653108314799,0.2935810618971727,-0.0602222073905858,-0.1303686430256603,xxx,3-2019,xxx,Materials,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2019-07-18,POOL,0.0173061178605013,0.0452007242565673,0.020978614017129,0.1363522967870906,0.063755757093046,0.1814457300371961,xxx,3-2019,xxx,Consumer Discretionary,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-07-18,SNA,0.0196574276951286,0.3582903991372096,0.0248363620379244,0.1019245709634047,-0.0943274631272046,-0.1070279409575318,xxx,3-2019,xxx,Industrials,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2019-07-18,GPC,0.0148341298978103,0.2422668612488587,0.0167589730470089,0.2413366502279806,-0.067317353236687,0.0325130187240567,xxx,3-2019,xxx,Consumer Discretionary,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-07-18,PM,0.0189397047851362,-0.0916619506865777,0.0212832399614045,0.0513666659758162,0.0537839308040628,0.1476758922324836,xxx,3-2019,xxx,Consumer Staples,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-07-18,ISRG,0.0052560665847812,0.1199714123732669,0.0062052224113851,0.0189942030859921,0.0162292303220106,0.0294270511654917,xxx,3-2019,xxx,Health Care,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2019-07-18,DHR,0.0069252485601111,0.2990737882262173,0.0073411723225833,0.0408511836580967,0.1293896730727757,0.3934273976880187,xxx,3-2019,xxx,Health Care,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2019-07-18,PPG,0.0098710126803042,0.184319387512004,0.0179491159072649,0.1251771965525719,-0.0197343822185754,0.1190273243341566,xxx,3-2019,xxx,Materials,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2019-07-18,PBCT,0.0194031309195524,1.0175947326745391,0.0162943404945242,0.0380201278205566,-0.028677433949063,-0.0634798638263339,xxx,3-2019,xxx,Financials,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-07-19,BLK,0.0138312273046531,0.4397999326294142,0.0181721346795379,0.037966069235377,0.022123429939733,-0.0328902050816845,xxx,3-2019,xxx,Financials,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-07-19,SLB,0.0089381806395409,0.6513244965219985,0.0107416956974904,0.1178024956532473,-0.1382098830398841,-0.3876276493807714,xxx,3-2019,xxx,Energy,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-07-19,RF,0.0247067228188143,1.010597448348187,0.0174648495763093,0.0482345434910391,0.0020313442405965,-0.1207846385365779,xxx,3-2019,xxx,Financials,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
