Instrument,Original Announcement Date Time,e_p,b_p,ebit_ev,rev_ev
KHC,2019-08-08T11:42:00Z,0.0118573211526166,1.3611623700875677,0.0212548367903859,0.0851765786374647
KHC,2019-08-08T11:42:00Z,0.0118573211526166,1.3611623700875677,0.022655626303135,0.0915658940680649
KHC,2019-08-08T11:42:00Z,0.0118573211526166,1.3611623700875677,0.022655626303135,0.0851765786374647
KHC,2019-08-08T11:42:00Z,0.0106953564962354,1.3611623700875677,0.0219710724977172,0.0946514394219077
KHC,2019-08-08T11:42:00Z,0.0106953564962354,1.3611623700875677,0.0219710724977172,0.0880468197806974
KHC,2019-08-08T11:42:00Z,0.0106953564962354,1.3611623700875677,0.0234190651707342,0.0946514394219077
KHC,2019-08-08T11:42:00Z,0.0106953564962354,1.3611623700875677,0.0234190651707342,0.0880468197806974
KHC,2019-08-08T11:42:00Z,0.0106953564962354,1.3611623700875677,0.0212548367903859,0.0915658940680649
KHC,2019-08-08T11:42:00Z,0.0106953564962354,1.3611623700875677,0.0212548367903859,0.0851765786374647
KHC,2019-08-08T11:42:00Z,0.0106953564962354,1.3611623700875677,0.022655626303135,0.0915658940680649
KHC,2019-08-08T11:42:00Z,0.0106953564962354,1.3611623700875677,0.022655626303135,0.0851765786374647
KHC,2019-08-08T11:42:00Z,0.0118573211526166,1.3653876961107718,0.0219710724977172,0.0946514394219077
KHC,2019-08-08T11:42:00Z,0.0118573211526166,1.3653876961107718,0.0219710724977172,0.0880468197806974
KHC,2019-08-08T11:42:00Z,0.0118573211526166,1.3653876961107718,0.0234190651707342,0.0946514394219077
KHC,2019-08-08T11:42:00Z,0.0118573211526166,1.3653876961107718,0.0234190651707342,0.0880468197806974
KHC,2019-08-08T11:42:00Z,0.0118573211526166,1.3653876961107718,0.0212548367903859,0.0915658940680649
KHC,2019-08-08T11:42:00Z,0.0118573211526166,1.3653876961107718,0.0212548367903859,0.0851765786374647
KHC,2019-08-08T11:42:00Z,0.0118573211526166,1.3653876961107718,0.022655626303135,0.0915658940680649
KHC,2019-08-08T11:42:00Z,0.0118573211526166,1.3653876961107718,0.022655626303135,0.0851765786374647
KHC,2019-08-08T11:42:00Z,0.0106953564962354,1.3653876961107718,0.0219710724977172,0.0946514394219077
KHC,2019-08-08T11:42:00Z,0.0106953564962354,1.3653876961107718,0.0219710724977172,0.0880468197806974
KHC,2019-08-08T11:42:00Z,0.0106953564962354,1.3653876961107718,0.0234190651707342,0.0946514394219077
KHC,2019-08-08T11:42:00Z,0.0106953564962354,1.3653876961107718,0.0234190651707342,0.0880468197806974
KHC,2019-08-08T11:42:00Z,0.0106953564962354,1.3653876961107718,0.0212548367903859,0.0915658940680649
KHC,2019-08-08T11:42:00Z,0.0106953564962354,1.3653876961107718,0.0212548367903859,0.0851765786374647
KHC,2019-08-08T11:42:00Z,0.0106953564962354,1.3653876961107718,0.022655626303135,0.0915658940680649
KHC,2019-08-08T11:42:00Z,0.0106953564962354,1.3653876961107718,0.022655626303135,0.0851765786374647
KHC,2019-08-08T11:42:00Z,0.0112772852690711,1.2945770927031977,0.0219710724977172,0.0946514394219077
KHC,2019-08-08T11:42:00Z,0.0112772852690711,1.2945770927031977,0.0219710724977172,0.0880468197806974
KHC,2019-08-08T11:42:00Z,0.0112772852690711,1.2945770927031977,0.0234190651707342,0.0946514394219077
KHC,2019-08-08T11:42:00Z,0.0112772852690711,1.2945770927031977,0.0234190651707342,0.0880468197806974
KHC,2019-08-08T11:42:00Z,0.0112772852690711,1.2945770927031977,0.0212548367903859,0.0915658940680649
KHC,2019-08-08T11:42:00Z,0.0112772852690711,1.2945770927031977,0.0212548367903859,0.0851765786374647
KHC,2019-08-08T11:42:00Z,0.0112772852690711,1.2945770927031977,0.022655626303135,0.0915658940680649
KHC,2019-08-08T11:42:00Z,0.0112772852690711,1.2945770927031977,0.022655626303135,0.0851765786374647
KHC,2019-08-08T11:42:00Z,0.0101721615455987,1.2945770927031977,0.0219710724977172,0.0946514394219077
KHC,2019-08-08T11:42:00Z,0.0101721615455987,1.2945770927031977,0.0219710724977172,0.0880468197806974
KHC,2019-08-08T11:42:00Z,0.0101721615455987,1.2945770927031977,0.0234190651707342,0.0946514394219077
KHC,2019-08-08T11:42:00Z,0.0101721615455987,1.2945770927031977,0.0234190651707342,0.0880468197806974
KHC,2019-08-08T11:42:00Z,0.0101721615455987,1.2945770927031977,0.0212548367903859,0.0915658940680649
KHC,2019-08-08T11:42:00Z,0.0101721615455987,1.2945770927031977,0.0212548367903859,0.0851765786374647
KHC,2019-08-08T11:42:00Z,0.0101721615455987,1.2945770927031977,0.022655626303135,0.0915658940680649
KHC,2019-08-08T11:42:00Z,0.0101721615455987,1.2945770927031977,0.022655626303135,0.0851765786374647
KHC,2019-08-08T11:42:00Z,0.0112772852690711,1.2985957244249158,0.0219710724977172,0.0946514394219077
KHC,2019-08-08T11:42:00Z,0.0112772852690711,1.2985957244249158,0.0219710724977172,0.0880468197806974
KHC,2019-08-08T11:42:00Z,0.0112772852690711,1.2985957244249158,0.0234190651707342,0.0946514394219077
KHC,2019-08-08T11:42:00Z,0.0112772852690711,1.2985957244249158,0.0234190651707342,0.0880468197806974
KHC,2019-08-08T11:42:00Z,0.0112772852690711,1.2985957244249158,0.0212548367903859,0.0915658940680649
KHC,2019-08-08T11:42:00Z,0.0112772852690711,1.2985957244249158,0.0212548367903859,0.0851765786374647
KHC,2019-08-08T11:42:00Z,0.0112772852690711,1.2985957244249158,0.022655626303135,0.0915658940680649
KHC,2019-08-08T11:42:00Z,0.0112772852690711,1.2985957244249158,0.022655626303135,0.0851765786374647
KHC,2019-08-08T11:42:00Z,0.0101721615455987,1.2985957244249158,0.0219710724977172,0.0946514394219077
KHC,2019-08-08T11:42:00Z,0.0101721615455987,1.2985957244249158,0.0219710724977172,0.0880468197806974
KHC,2019-08-08T11:42:00Z,0.0101721615455987,1.2985957244249158,0.0234190651707342,0.0946514394219077
KHC,2019-08-08T11:42:00Z,0.0101721615455987,1.2985957244249158,0.0234190651707342,0.0880468197806974
KHC,2019-08-08T11:42:00Z,0.0101721615455987,1.2985957244249158,0.0212548367903859,0.0915658940680649
KHC,2019-08-08T11:42:00Z,0.0101721615455987,1.2985957244249158,0.0212548367903859,0.0851765786374647
KHC,2019-08-08T11:42:00Z,0.0101721615455987,1.2985957244249158,0.022655626303135,0.0915658940680649
KHC,2019-08-08T11:42:00Z,0.0101721615455987,1.2985957244249158,0.022655626303135,0.0851765786374647
KHC,2019-02-21T22:02:43Z,-0.2365484045178338,0.9722613727066952,0.0200504804441526,0.0827352459524885
KHC,2018-11-01T20:16:58Z,0.009212300667231,0.9730957659562192,0.0141876017622739,0.0648706748199104
KHC,2018-08-03T11:39:32Z,0.0098448327143878,0.8575319339295113,0.0170752834616029,0.0621848918661533
KHC,2018-05-02T17:00:00Z,0.0132112848050034,0.8726033856050546,0.0155375392481369,0.0591120382741433
KHC,2018-02-16T17:00:00Z,0.083853960597664,0.6951382513334109,0.0147234279840369,0.0547522471550015
KHC,2017-11-01T17:00:00Z,0.0099920217822379,0.6219504321001272,0.0134743693936042,0.0503385126661716
KHC,2017-08-03T17:00:00Z,0.0111145111673096,0.5593984296140402,0.0148731764937161,0.0494803370369894
KHC,2017-05-03T17:00:00Z,0.0080793915330052,0.5223285912468777,0.0122629689609385,0.0451140289173793
KHC,2017-02-15T17:00:00Z,0.008542502695819,0.5396265083995444,0.0123674879047178,0.0494922220052546
KHC,2016-11-03T21:00:10Z,0.007725342670823,0.528864848256039,0.0123135635686137,0.0454203077601542
KHC,2016-08-04T21:02:00Z,0.0071764165886423,0.5389395657854997,0.0137393244336742,0.0499217507913761
HAL,2021-04-21T10:48:39Z,0.0089147489491018,0.2711132474520978,0.0132447700398426,0.1313439695617725
HAL,2021-01-19T11:45:37Z,-0.0140653405712137,0.2977064000051791,0.01380274554833,0.1349833454378979
HAL,2020-10-23T14:02:32Z,-0.0016059600643764,0.4912348432210223,0.013879350378161,0.1625632573820042
HAL,2020-07-20T10:45:00Z,-0.1471845575778706,0.4556925234317248,0.0096861960207427,0.164665332352627
HAL,2020-04-20T10:50:07Z,-0.1699971350630218,1.141672008338681,0.033179893617457,0.3489084011505872
HAL,2020-01-21T11:45:00Z,-0.0769557601314902,0.3730003328333334,0.0169115394727826,0.1748760984127785
HAL,2019-10-21T10:45:00Z,0.0178665269802242,0.5902010353297797,0.0201838793747215,0.2183636072703798
HAL,2019-07-22T10:45:00Z,0.0037737233706625,0.4784074907767998,0.0185780136430808,0.2032612931798333
HAL,2019-04-22T19:29:37Z,0.0059440037720846,0.3756062909925865,0.0114219822286035,0.1654745253674211
HAL,2019-01-22T11:45:00Z,0.0285158326572083,0.4089273472318338,0.0188223772503838,0.1877808930391231
HAL,2018-10-22T10:47:40Z,0.0121977998200705,0.2523121903011368,0.0152892819084676,0.1400080829956412
HAL,2018-07-23T17:00:00Z,0.0129460509348226,0.223528390211233,0.0160783466751035,0.128355320794625
HAL,2018-04-23T17:00:00Z,0.0011197787560313,0.2036293324826486,0.0119595204314549,0.1155684297585039
HAL,2018-01-22T17:00:00Z,-0.0193240911652512,0.1951639401422579,0.0145105401915515,0.1158502805615809
HAL,2017-10-23T17:00:00Z,0.0090978119345311,0.2297384454810225,0.0124215933368678,0.1106761933320923
HAL,2017-07-24T06:45:00Z,0.0007553958105169,0.2405665872278585,0.0082835200975891,0.1074905998003917
HAL,2017-04-23T23:50:00Z,-0.0007498140634312,0.2097370525554006,0.0035910303970227,0.0830595625343807
HAL,2017-01-23T11:50:00Z,-0.0031866054570559,0.2012266492982525,0.0023565572523956,0.072890128552944
HAL,2016-10-19T11:50:00Z,0.0001552542678425,0.250528636875289,0.0018651914791675,0.0803289768499917
HAL,2016-07-20T11:50:00Z,-0.0824337225353922,0.250127760336505,0.0006356091332739,0.0786310008421178
BR,2021-05-04T11:00:07Z,0.009306891069818,0.0896451028924954,0.0131183062188765,0.0727236616792763
BR,2021-02-02T12:00:30Z,0.0031784736945999,0.0809579267860815,0.0045507080257401,0.0551786424868199
BR,2020-10-30T11:00:10Z,0.0043160094486236,0.092735169581521,0.007662736664852,0.0610498690902148
