,Instrument,Original Announcement Date Time,Revenue from Business Activities - Total
304,DVN,2020-05-05T21:01:44Z,1367000000.0
305,DVN,2020-02-18T21:51:15Z,1589000000.0
306,DVN,2019-11-05T21:29:13Z,1619000000.0
307,DVN,2019-08-06T20:23:42Z,1666000000.0
308,DVN,2019-04-30T21:23:34Z,1683000000.0
309,DVN,2019-02-19T22:23:35Z,2939000000.0
310,DVN,2018-11-06T21:52:42Z,2156000000.0
311,DVN,2018-07-31T20:05:00Z,1922000000.0
312,DVN,2018-05-01T17:00:00Z,3810000000.0
313,DVN,2018-02-20T17:00:00Z,3000000.0
314,DVN,2017-10-31T17:00:00Z,1933000000.0
315,DVN,2017-08-01T20:01:00Z,2165000000.0
316,DVN,2017-05-02T21:07:00Z,3551000000.0
317,DVN,2017-02-14T12:00:00Z,2778000000.0
318,DVN,2016-11-01T21:15:00Z,2803000000.0
319,DVN,2016-08-02T16:00:00Z,2630000000.0
320,ALLE,2021-04-22T10:15:10Z,694300000.0
321,ALLE,2021-02-16T00:00:00Z,727300000.0
322,ALLE,2020-10-22T09:32:45Z,728400000.0
323,ALLE,2020-07-23T10:14:59Z,589500000.0
324,ALLE,2020-04-23T09:33:37Z,674700000.0
325,ALLE,2020-02-18T12:39:58Z,719500000.0
326,ALLE,2019-10-24T10:30:46Z,748300000.0
327,ALLE,2019-07-25T09:58:03Z,731200000.0
328,ALLE,2019-04-25T10:19:02Z,655000000.0
329,ALLE,2019-02-19T12:37:07Z,702400000.0
330,ALLE,2018-10-25T10:37:31Z,711500000.0
331,ALLE,2018-07-26T10:13:14Z,704700000.0
332,ALLE,2018-04-26T23:00:00Z,613100000.0
333,ALLE,2018-02-20T17:00:00Z,623100000.0
334,ALLE,2017-10-26T17:00:00Z,609400000.0
335,ALLE,2017-07-27T17:00:00Z,627000000.0
336,ALLE,2017-04-27T10:30:00Z,548800000.0
337,ALLE,2017-02-09T10:30:00Z,569700000.0
338,ALLE,2016-10-27T17:00:00Z,581100000.0
339,ALLE,2016-07-28T17:00:00Z,584900000.0
340,PEAK,2021-05-04T20:17:03Z,455276000.0
341,PEAK,2021-02-09T21:15:05Z,431697000.0
342,PEAK,2020-11-02T21:15:04Z,597739000.0
343,PEAK,2020-08-04T20:16:04Z,588440000.0
344,PEAK,2020-05-05T20:15:05Z,381054000.0
345,PEAK,2020-02-11T21:16:04Z,531691000.0
346,PEAK,2019-10-30T20:20:02Z,537971000.0
347,PEAK,2019-07-31T20:15:21Z,491567000.0
348,PEAK,2019-05-01T20:15:02Z,436154000.0
349,PEAK,2019-02-13T21:15:10Z,441919000.0
350,PEAK,2018-10-31T12:07:39Z,456022000.0
351,PEAK,2018-08-02T12:01:03Z,469551000.0
352,PEAK,2018-05-03T17:00:00Z,479197000.0
353,PEAK,2018-02-13T17:00:00Z,443259000.0
354,PEAK,2017-11-02T17:00:00Z,454023000.0
355,PEAK,2017-08-01T13:07:26Z,458928000.0
356,PEAK,2017-05-02T16:00:00Z,492168000.0
357,PEAK,2017-02-13T13:06:00Z,172238000.0
358,PEAK,2016-11-01T16:00:00Z,530557000.0
359,PEAK,2016-08-09T17:00:00Z,538335000.0
360,DLTR,2021-05-27T11:30:00Z,6479700000.0
361,DLTR,2021-03-03T12:30:00Z,6767900000.0
362,DLTR,2020-11-24T12:30:00Z,6177000000.0
363,DLTR,2020-08-27T11:30:00Z,6277600000.0
364,DLTR,2020-05-28T11:00:00Z,6286800000.0
365,DLTR,2020-03-04T12:30:00Z,6315300000.0
366,DLTR,2019-11-26T12:30:00Z,5746200000.0
367,DLTR,2019-08-29T11:30:00Z,5740600000.0
368,DLTR,2019-05-30T12:19:22Z,5808700000.0
369,DLTR,2019-03-06T12:30:00Z,6205200000.0
370,DLTR,2018-11-29T12:30:00Z,5538800000.0
371,DLTR,2018-08-30T12:05:09Z,5525600000.0
372,DLTR,2018-05-31T17:00:00Z,5553700000.0
373,DLTR,2018-03-07T17:00:00Z,6360600000.0
374,DLTR,2017-11-21T17:00:00Z,5316600000.0
375,DLTR,2017-08-24T13:01:00Z,5281200000.0
376,DLTR,2017-05-25T12:31:00Z,5287100000.0
377,DLTR,2017-03-01T12:30:00Z,5635500000.0
378,DLTR,2016-11-22T12:31:00Z,5001600000.0
379,DLTR,2016-08-25T12:24:00Z,4996300000.0
380,PAYX,2021-06-25T13:33:37Z,1029200000.0
381,PAYX,2021-04-06T12:30:00Z,1111700000.0
382,PAYX,2020-12-23T13:30:04Z,983700000.0
383,PAYX,2020-10-06T12:30:01Z,932200000.0
384,PAYX,2020-07-07T12:30:00Z,915100000.0
385,PAYX,2020-03-25T12:15:00Z,1142700000.0
386,PAYX,2019-12-18T13:30:00Z,990700000.0
387,PAYX,2019-10-02T12:30:00Z,992000000.0
388,PAYX,2019-06-26T12:30:00Z,980400000.0
389,PAYX,2019-03-27T12:30:00Z,1070400000.0
390,PAYX,2018-12-19T13:30:00Z,858900000.0
391,PAYX,2018-10-02T12:30:00Z,862800000.0
392,PAYX,2018-06-27T12:30:00Z,845700000.0
393,PAYX,2018-03-26T17:00:00Z,936100000.0
394,PAYX,2017-12-21T17:00:00Z,803000000.0
395,PAYX,2017-10-03T17:00:00Z,792900000.0
396,PAYX,2017-06-28T13:30:00Z,798600000.0
397,PAYX,2017-03-29T17:00:00Z,795800000.0
398,PAYX,2016-12-21T18:43:00Z,771400000.0
399,PAYX,2016-09-28T13:30:00Z,785500000.0
400,AAL,2021-04-22T11:00:01Z,4008000000.0
401,AAL,2021-01-28T12:02:53Z,4028000000.0
402,AAL,2020-10-22T11:01:31Z,3173000000.0
403,AAL,2020-07-23T11:01:16Z,1622000000.0
404,AAL,2020-04-30T00:00:00Z,8515000000.0
405,AAL,2020-01-23T12:31:38Z,11313000000.0
406,AAL,2019-10-24T11:35:05Z,11911000000.0
407,AAL,2019-07-25T11:31:43Z,11960000000.0
408,AAL,2019-04-26T16:31:18Z,10584000000.0
409,AAL,2019-01-24T12:31:40Z,10938000000.0
410,AAL,2018-10-25T11:30:17Z,11559000000.0
411,AAL,2018-07-25T17:00:00Z,11643000000.0
412,AAL,2018-04-26T17:00:00Z,10401000000.0
413,AAL,2018-01-25T16:00:00Z,10611000000.0
414,AAL,2017-10-26T16:00:00Z,10965000000.0
415,AAL,2017-07-28T16:00:00Z,11227000000.0
416,AAL,2017-04-27T17:00:00Z,9820000000.0
417,AAL,2017-01-27T12:30:00Z,9789000000.0
418,AAL,2016-10-20T17:00:00Z,10594000000.0
419,AAL,2016-07-22T16:00:00Z,10363000000.0
420,TER,2021-04-27T21:05:43Z,781606000.0
421,TER,2021-01-27T22:02:00Z,758969000.0
422,TER,2020-10-20T21:07:05Z,819484000.0
423,TER,2020-07-21T21:02:10Z,838661000.0
424,TER,2020-04-21T21:02:10Z,704355000.0
425,TER,2020-01-22T22:04:41Z,654650000.0
426,TER,2019-10-22T21:03:49Z,582038000.0
427,TER,2019-07-23T21:02:01Z,564178000.0
428,TER,2019-04-23T21:04:46Z,494099000.0
429,TER,2019-01-23T22:10:41Z,519558000.0
430,TER,2018-10-23T21:06:42Z,566848000.0
431,TER,2018-07-24T17:00:00Z,526929000.0
432,TER,2018-04-24T17:00:00Z,487467000.0
433,TER,2018-01-24T17:00:00Z,479415000.0
434,TER,2017-10-25T16:00:00Z,503378000.0
435,TER,2017-07-26T17:00:00Z,696901000.0
436,TER,2017-04-26T17:00:00Z,456913000.0
437,TER,2017-01-25T17:00:00Z,379989000.0
438,TER,2016-10-26T17:00:00Z,410475000.0
439,TER,2016-07-27T22:03:00Z,531792000.0
440,WDC,2021-04-29T20:01:00Z,4137000000.0
441,WDC,2021-01-28T21:01:00Z,3943000000.0
442,WDC,2020-10-28T20:12:42Z,3922000000.0
443,WDC,2020-08-05T20:01:00Z,4287000000.0
444,WDC,2020-04-30T20:22:53Z,4175000000.0
445,WDC,2020-01-30T21:15:00Z,4234000000.0
446,WDC,2019-10-30T20:05:00Z,4040000000.0
447,WDC,2019-07-31T20:05:01Z,3634000000.0
448,WDC,2019-04-29T20:20:45Z,3674000000.0
449,WDC,2019-01-24T21:10:00Z,4233000000.0
450,WDC,2018-10-25T20:12:50Z,5028000000.0
451,WDC,2018-07-27T00:21:36Z,5117000000.0
452,WDC,2018-04-26T17:00:00Z,5013000000.0
453,WDC,2018-01-25T17:00:00Z,5336000000.0
454,WDC,2017-10-26T16:00:00Z,5181000000.0
455,WDC,2017-07-27T17:00:00Z,4842000000.0
456,WDC,2017-04-27T17:00:00Z,4649000000.0
457,WDC,2017-01-25T21:10:00Z,4888000000.0
458,WDC,2016-10-26T16:00:00Z,4714000000.0
459,WDC,2016-07-28T17:00:00Z,3495000000.0
460,PWR,2021-05-06T10:57:40Z,2703581000.0
461,PWR,2021-02-25T11:57:38Z,2912185000.0
462,PWR,2020-10-29T10:58:47Z,3020161000.0
463,PWR,2020-08-06T11:04:13Z,2506231000.0
464,PWR,2020-05-07T10:58:12Z,2764095000.0
465,PWR,2020-02-27T11:58:43Z,3112800000.0
466,PWR,2019-10-31T10:57:43Z,3352895000.0
467,PWR,2019-08-01T10:56:20Z,2839199000.0
468,PWR,2019-05-02T10:57:40Z,2807259000.0
469,PWR,2019-02-21T11:54:04Z,3112218000.0
470,PWR,2018-11-01T10:58:17Z,2985281000.0
471,PWR,2018-08-02T17:00:00Z,2656348000.0
472,PWR,2018-05-03T17:00:00Z,2417576000.0
473,PWR,2018-02-22T17:00:00Z,2478627000.0
474,PWR,2017-11-02T17:00:00Z,2609307000.0
475,PWR,2017-08-03T12:13:00Z,2200374000.0
476,PWR,2017-05-04T17:00:00Z,2178170000.0
477,PWR,2017-02-21T11:12:56Z,2102966000.0
478,PWR,2016-11-03T11:07:00Z,2042186000.0
479,PWR,2016-08-04T11:07:00Z,1792430000.0
480,XOM,2021-04-30T11:29:43Z,57552000000.0
481,XOM,2021-02-02T12:30:01Z,45738000000.0
482,XOM,2020-10-30T11:29:26Z,45425000000.0
483,XOM,2020-07-31T11:40:38Z,32277000000.0
484,XOM,2020-05-01T11:36:43Z,55134000000.0
485,XOM,2020-01-31T12:32:43Z,63024000000.0
486,XOM,2019-11-01T11:29:17Z,63422000000.0
