,Instrument,Income Available to Common Shares,Original Announcement Date Time
315,DVN,216000000.0,2017-08-01T20:01:00Z
316,DVN,300000000.0,2017-05-02T21:07:00Z
317,DVN,2576000000.0,2017-02-14T12:00:00Z
318,DVN,982000000.0,2016-11-01T21:15:00Z
319,DVN,-1571000000.0,2016-08-02T16:00:00Z
320,ALLE,108000000.0,2021-04-22T10:15:10Z
321,ALLE,93300000.0,2021-02-16T00:00:00Z
322,ALLE,146900000.0,2020-10-22T09:32:45Z
323,ALLE,73700000.0,2020-07-23T10:14:59Z
324,ALLE,400000.0,2020-04-23T09:33:37Z
325,ALLE,80700000.0,2020-02-18T12:39:58Z
326,ALLE,131600000.0,2019-10-24T10:30:46Z
327,ALLE,109300000.0,2019-07-25T09:58:03Z
328,ALLE,80200000.0,2019-04-25T10:19:02Z
329,ALLE,132800000.0,2019-02-19T12:37:07Z
330,ALLE,116000000.0,2018-10-25T10:37:31Z
331,ALLE,113900000.0,2018-07-26T10:13:14Z
332,ALLE,72200000.0,2018-04-26T23:00:00Z
333,ALLE,9600000.0,2018-02-20T17:00:00Z
334,ALLE,89800000.0,2017-10-26T17:00:00Z
335,ALLE,105500000.0,2017-07-27T17:00:00Z
336,ALLE,68400000.0,2017-04-27T10:30:00Z
337,ALLE,74800000.0,2017-02-09T10:30:00Z
338,ALLE,1600000.0,2016-10-27T17:00:00Z
339,ALLE,95000000.0,2016-07-28T17:00:00Z
340,PEAK,143337000.0,2021-05-04T20:17:03Z
341,PEAK,146129000.0,2021-02-09T21:15:05Z
342,PEAK,-63768000.0,2020-11-02T21:15:04Z
343,PEAK,51131000.0,2020-08-04T20:16:04Z
344,PEAK,277464000.0,2020-05-05T20:15:05Z
345,PEAK,43200000.0,2020-02-11T21:16:04Z
346,PEAK,-46249000.0,2019-10-30T20:20:02Z
347,PEAK,-13991000.0,2019-07-31T20:15:21Z
348,PEAK,61029000.0,2019-05-01T20:15:02Z
349,PEAK,830157000.0,2019-02-13T21:15:10Z
350,PEAK,98946000.0,2018-10-31T12:07:39Z
351,PEAK,89481000.0,2018-08-02T12:01:03Z
352,PEAK,39841000.0,2018-05-03T17:00:00Z
353,PEAK,-59298000.0,2018-02-13T17:00:00Z
354,PEAK,-7788000.0,2017-11-02T17:00:00Z
355,PEAK,19283000.0,2017-08-01T13:07:26Z
356,PEAK,460375000.0,2017-05-02T16:00:00Z
357,PEAK,58440000.0,2017-02-13T13:06:00Z
358,PEAK,150924000.0,2016-11-01T16:00:00Z
359,PEAK,301375000.0,2016-08-09T17:00:00Z
360,DLTR,374500000.0,2021-05-27T11:30:00Z
361,DLTR,502800000.0,2021-03-03T12:30:00Z
362,DLTR,330000000.0,2020-11-24T12:30:00Z
363,DLTR,261500000.0,2020-08-27T11:30:00Z
364,DLTR,247600000.0,2020-05-28T11:00:00Z
365,DLTR,123000000.0,2020-03-04T12:30:00Z
366,DLTR,255800000.0,2019-11-26T12:30:00Z
367,DLTR,180300000.0,2019-08-29T11:30:00Z
368,DLTR,267900000.0,2019-05-30T12:19:22Z
369,DLTR,-2307000000.0,2019-03-06T12:30:00Z
370,DLTR,281800000.0,2018-11-29T12:30:00Z
371,DLTR,273900000.0,2018-08-30T12:05:09Z
372,DLTR,160500000.0,2018-05-31T17:00:00Z
373,DLTR,1040100000.0,2018-03-07T17:00:00Z
374,DLTR,239900000.0,2017-11-21T17:00:00Z
375,DLTR,233800000.0,2017-08-24T13:01:00Z
376,DLTR,200500000.0,2017-05-25T12:31:00Z
377,DLTR,321800000.0,2017-03-01T12:30:00Z
378,DLTR,171600000.0,2016-11-22T12:31:00Z
379,DLTR,170200000.0,2016-08-25T12:24:00Z
380,PAYX,263000000.0,2021-06-25T13:33:37Z
381,PAYX,350500000.0,2021-04-06T12:30:00Z
382,PAYX,272400000.0,2020-12-23T13:30:04Z
383,PAYX,211600000.0,2020-10-06T12:30:01Z
384,PAYX,220700000.0,2020-07-07T12:30:00Z
385,PAYX,354500000.0,2020-03-25T12:15:00Z
386,PAYX,258700000.0,2019-12-18T13:30:00Z
387,PAYX,264200000.0,2019-10-02T12:30:00Z
388,PAYX,230400000.0,2019-06-26T12:30:00Z
389,PAYX,324600000.0,2019-03-27T12:30:00Z
390,PAYX,235800000.0,2018-12-19T13:30:00Z
391,PAYX,243600000.0,2018-10-02T12:30:00Z
392,PAYX,217700000.0,2018-06-27T12:30:00Z
393,PAYX,367200000.0,2018-03-26T17:00:00Z
394,PAYX,198800000.0,2017-12-21T17:00:00Z
395,PAYX,210400000.0,2017-10-03T17:00:00Z
396,PAYX,195300000.0,2017-06-28T13:30:00Z
397,PAYX,202500000.0,2017-03-29T17:00:00Z
398,PAYX,202100000.0,2016-12-21T18:43:00Z
399,PAYX,217400000.0,2016-09-28T13:30:00Z
400,AAL,-1250000000.0,2021-04-22T11:00:01Z
401,AAL,-2178000000.0,2021-01-28T12:02:53Z
402,AAL,-2399000000.0,2020-10-22T11:01:31Z
403,AAL,-2067000000.0,2020-07-23T11:01:16Z
404,AAL,-2241000000.0,2020-04-30T00:00:00Z
405,AAL,414000000.0,2020-01-23T12:31:38Z
406,AAL,425000000.0,2019-10-24T11:35:05Z
407,AAL,662000000.0,2019-07-25T11:31:43Z
408,AAL,185000000.0,2019-04-26T16:31:18Z
409,AAL,324000000.0,2019-01-24T12:31:40Z
410,AAL,372000000.0,2018-10-25T11:30:17Z
411,AAL,556000000.0,2018-07-25T17:00:00Z
412,AAL,159000000.0,2018-04-26T17:00:00Z
413,AAL,-583000000.0,2018-01-25T16:00:00Z
414,AAL,661000000.0,2017-10-26T16:00:00Z
415,AAL,864000000.0,2017-07-28T16:00:00Z
416,AAL,340000000.0,2017-04-27T17:00:00Z
417,AAL,289000000.0,2017-01-27T12:30:00Z
418,AAL,737000000.0,2016-10-20T17:00:00Z
419,AAL,950000000.0,2016-07-22T16:00:00Z
420,TER,205512000.0,2021-04-27T21:05:43Z
421,TER,196332000.0,2021-01-27T22:02:00Z
422,TER,222718000.0,2020-10-20T21:07:05Z
423,TER,188908000.0,2020-07-21T21:02:10Z
424,TER,176191000.0,2020-04-21T21:02:10Z
425,TER,125073000.0,2020-01-22T22:04:41Z
426,TER,135860000.0,2019-10-22T21:03:49Z
427,TER,97397000.0,2019-07-23T21:02:01Z
428,TER,109138000.0,2019-04-23T21:04:46Z
429,TER,143788000.0,2019-01-23T22:10:41Z
430,TER,119981000.0,2018-10-23T21:06:42Z
431,TER,101037000.0,2018-07-24T17:00:00Z
432,TER,86974000.0,2018-04-24T17:00:00Z
433,TER,-105924000.0,2018-01-24T17:00:00Z
434,TER,103420000.0,2017-10-25T16:00:00Z
435,TER,174976000.0,2017-07-26T17:00:00Z
436,TER,85221000.0,2017-04-26T17:00:00Z
437,TER,66346000.0,2017-01-25T17:00:00Z
438,TER,63794000.0,2016-10-26T17:00:00Z
439,TER,-223546000.0,2016-07-27T22:03:00Z
440,WDC,197000000.0,2021-04-29T20:01:00Z
441,WDC,62000000.0,2021-01-28T21:01:00Z
442,WDC,-60000000.0,2020-10-28T20:12:42Z
443,WDC,148000000.0,2020-08-05T20:01:00Z
444,WDC,17000000.0,2020-04-30T20:22:53Z
445,WDC,-139000000.0,2020-01-30T21:15:00Z
446,WDC,-276000000.0,2019-10-30T20:05:00Z
447,WDC,-197000000.0,2019-07-31T20:05:01Z
448,WDC,-581000000.0,2019-04-29T20:20:45Z
449,WDC,-487000000.0,2019-01-24T21:10:00Z
450,WDC,511000000.0,2018-10-25T20:12:50Z
451,WDC,756000000.0,2018-07-27T00:21:36Z
452,WDC,61000000.0,2018-04-26T17:00:00Z
453,WDC,-823000000.0,2018-01-25T17:00:00Z
454,WDC,681000000.0,2017-10-26T16:00:00Z
455,WDC,280000000.0,2017-07-27T17:00:00Z
456,WDC,248000000.0,2017-04-27T17:00:00Z
457,WDC,235000000.0,2017-01-25T21:10:00Z
458,WDC,-366000000.0,2016-10-26T16:00:00Z
459,WDC,-366000000.0,2016-07-28T17:00:00Z
460,PWR,89761000.0,2021-05-06T10:57:40Z
461,PWR,170051000.0,2021-02-25T11:57:38Z
462,PWR,162913000.0,2020-10-29T10:58:47Z
463,PWR,73946000.0,2020-08-06T11:04:13Z
464,PWR,38686000.0,2020-05-07T10:58:12Z
465,PWR,118144000.0,2020-02-27T11:58:43Z
466,PWR,136068000.0,2019-10-31T10:57:43Z
