,Instrument,Common Equity - Total,Original Announcement Date Time
6310,HWM,5149000000.0,2018-07-31T12:17:56Z
6311,HWM,5213000000.0,2018-04-30T17:00:00Z
6312,HWM,4855000000.0,2018-02-05T17:00:00Z
6313,HWM,5890000000.0,2017-10-23T17:00:00Z
6314,HWM,5682000000.0,2017-07-24T17:00:00Z
6315,HWM,5424000000.0,2017-04-25T21:15:00Z
6316,HWM,5057000000.0,
6317,HWM,11717000000.0,2016-10-11T05:00:00Z
6318,HWM,12277000000.0,2016-07-11T17:00:00Z
6319,D,24312000000.0,2021-05-04T11:31:43Z
6320,D,23730000000.0,2021-02-12T12:31:29Z
6321,D,23949000000.0,2020-11-05T12:32:53Z
6322,D,26484000000.0,2020-07-31T10:45:03Z
6323,D,28339000000.0,2020-05-05T10:50:02Z
6324,D,29607000000.0,2020-02-11T12:30:12Z
6325,D,27690000000.0,2019-11-01T11:30:07Z
6326,D,26101000000.0,2019-07-31T11:30:04Z
6327,D,26909000000.0,2019-05-03T11:30:09Z
6328,D,20107000000.0,2019-02-01T12:30:08Z
6329,D,18470000000.0,2018-11-01T11:30:05Z
6330,D,18064000000.0,2018-08-01T11:30:08Z
6331,D,17689000000.0,2018-04-27T17:00:00Z
6332,D,17142000000.0,2018-01-29T17:00:00Z
6333,D,16280000000.0,2017-10-30T16:00:00Z
6334,D,14973000000.0,2017-08-01T13:19:33Z
6335,D,14917000000.0,2017-05-04T17:00:00Z
6336,D,14605000000.0,2017-02-01T17:00:00Z
6337,D,14958000000.0,2016-10-31T10:00:00Z
6338,D,14252000000.0,2016-08-03T12:30:00Z
6339,CFG,20688000000.0,2021-04-16T10:40:45Z
6340,CFG,20708000000.0,2021-01-20T11:35:46Z
6341,CFG,20504000000.0,2020-10-16T13:43:52Z
6342,CFG,20453000000.0,2020-07-17T12:30:54Z
6343,CFG,20380000000.0,2020-04-17T12:24:53Z
6344,CFG,20631000000.0,2020-01-17T11:48:26Z
6345,CFG,20718000000.0,2019-10-21T13:42:32Z
6346,CFG,20884000000.0,2019-07-19T10:43:37Z
6347,CFG,20399000000.0,2019-04-18T10:52:12Z
6348,CFG,19977000000.0,2019-01-18T13:00:15Z
6349,CFG,19733000000.0,2018-10-19T12:40:52Z
6350,CFG,19924000000.0,2018-07-20T17:00:00Z
6351,CFG,19812000000.0,2018-04-20T17:00:00Z
6352,CFG,20023000000.0,2018-01-19T17:00:00Z
6353,CFG,19862000000.0,2017-10-20T12:55:00Z
6354,CFG,19817000000.0,2017-07-21T11:30:00Z
6355,CFG,19600000000.0,2017-04-20T17:00:00Z
6356,CFG,19500000000.0,2017-01-20T11:50:00Z
6357,CFG,19934000000.0,2016-10-21T11:50:00Z
6358,CFG,19979000000.0,2016-07-21T11:50:00Z
6359,ANET,3451338000.0,2021-05-04T20:05:00Z
6360,ANET,3320291000.0,2021-02-18T21:05:00Z
6361,ANET,3083877000.0,2020-11-02T21:05:00Z
6362,ANET,3036483000.0,2020-08-04T20:17:54Z
6363,ANET,2848826000.0,2020-05-05T20:05:00Z
6364,ANET,2894686000.0,2020-02-13T21:05:00Z
6365,ANET,2656004000.0,2019-10-31T20:08:00Z
6366,ANET,2525560000.0,2019-08-01T20:05:00Z
6367,ANET,2400367000.0,2019-05-02T20:05:00Z
6368,ANET,2143389000.0,2019-02-14T21:07:47Z
6369,ANET,1945876000.0,2018-11-01T20:05:00Z
6370,ANET,1719973000.0,2018-08-02T20:05:00Z
6371,ANET,1845039000.0,2018-05-03T17:00:00Z
6372,ANET,1661914000.0,2018-02-15T17:00:00Z
