,Instrument,GICS Sector
331,NWL,Consumer Discretionary
332,NEM,Materials
333,NWSA,Communication Services
334,NWS,Communication Services
335,NEE,Utilities
336,NLSN,Industrials
337,NKE,Consumer Discretionary
338,NI,Utilities
339,NSC,Industrials
340,NTRS,Financials
341,NOC,Industrials
342,NLOK,Information Technology
343,NCLH,Consumer Discretionary
344,NOV,Energy
345,NRG,Utilities
346,NUE,Materials
347,NVDA,Information Technology
348,NVR,Consumer Discretionary
349,NXPI,Information Technology
350,ORLY,Consumer Discretionary
351,OXY,Energy
352,ODFL,Industrials
353,OMC,Communication Services
354,OKE,Energy
355,ORCL,Information Technology
356,OGN,Health Care
357,OTIS,Industrials
358,PCAR,Industrials
359,PKG,Materials
360,PH,Industrials
361,PAYX,Information Technology
362,PAYC,Information Technology
363,PYPL,Information Technology
364,PENN,Consumer Discretionary
365,PNR,Industrials
366,PBCT,Financials
367,PEP,Consumer Staples
368,PKI,Health Care
369,PRGO,Health Care
370,PFE,Health Care
371,PM,Consumer Staples
372,PSX,Energy
373,PNW,Utilities
374,PXD,Energy
375,PNC,Financials
376,POOL,Consumer Discretionary
377,PPG,Materials
378,PPL,Utilities
379,PFG,Financials
380,PG,Consumer Staples
381,PGR,Financials
382,PLD,Real Estate
383,PRU,Financials
384,PTC,Information Technology
385,PEG,Utilities
386,PSA,Real Estate
387,PHM,Consumer Discretionary
388,PVH,Consumer Discretionary
389,QRVO,Information Technology
390,PWR,Industrials
391,QCOM,Information Technology
392,DGX,Health Care
393,RL,Consumer Discretionary
394,RJF,Financials
395,RTX,Industrials
396,O,Real Estate
397,REG,Real Estate
398,REGN,Health Care
399,RF,Financials
400,RSG,Industrials
401,RMD,Health Care
402,RHI,Industrials
403,ROK,Industrials
404,ROL,Industrials
405,ROP,Industrials
406,ROST,Consumer Discretionary
407,RCL,Consumer Discretionary
408,SPGI,Financials
409,CRM,Information Technology
410,SBAC,Real Estate
411,SLB,Energy
412,STX,Information Technology
413,SEE,Materials
414,SRE,Utilities
415,NOW,Information Technology
416,SHW,Materials
417,SPG,Real Estate
418,SWKS,Information Technology
419,SNA,Industrials
420,SO,Utilities
421,LUV,Industrials
422,SWK,Industrials
423,SBUX,Consumer Discretionary
424,STT,Financials
425,STE,Health Care
426,SYK,Health Care
427,SIVB,Financials
428,SYF,Financials
429,SNPS,Information Technology
430,SYY,Consumer Staples
431,TMUS,Communication Services
432,TROW,Financials
433,TTWO,Communication Services
434,TPR,Consumer Discretionary
435,TGT,Consumer Discretionary
436,TEL,Information Technology
437,TDY,Industrials
438,TFX,Health Care
439,TER,Information Technology
440,TSLA,Consumer Discretionary
441,TXN,Information Technology
442,TXT,Industrials
443,TMO,Health Care
444,TJX,Consumer Discretionary
445,TSCO,Consumer Discretionary
446,TT,Industrials
447,TDG,Industrials
448,TRV,Financials
449,TRMB,Information Technology
450,TFC,Financials
451,TWTR,Communication Services
452,TYL,Information Technology
453,TSN,Consumer Staples
454,UDR,Real Estate
455,ULTA,Consumer Discretionary
456,USB,Financials
457,UAA,Consumer Discretionary
458,UA,Consumer Discretionary
459,UNP,Industrials
460,UAL,Industrials
461,UNH,Health Care
462,UPS,Industrials
463,URI,Industrials
464,UHS,Health Care
465,UNM,Financials
466,VLO,Energy
467,VTR,Real Estate
468,VRSN,Information Technology
469,VRSK,Industrials
470,VZ,Communication Services
471,VRTX,Health Care
472,VFC,Consumer Discretionary
473,VIAC,Communication Services
474,VTRS,Health Care
475,V,Information Technology
476,VNO,Real Estate
477,VMC,Materials
478,WRB,Financials
479,WAB,Industrials
480,WMT,Consumer Staples
481,WBA,Consumer Staples
482,DIS,Communication Services
483,WM,Industrials
484,WAT,Health Care
485,WEC,Utilities
486,WFC,Financials
487,WELL,Real Estate
488,WST,Health Care
489,WDC,Information Technology
490,WU,Information Technology
491,WRK,Materials
492,WY,Real Estate
493,WHR,Consumer Discretionary
494,WMB,Energy
495,WLTW,Financials
496,WYNN,Consumer Discretionary
497,XEL,Utilities
498,XLNX,Information Technology
499,XYL,Industrials
500,YUM,Consumer Discretionary
501,ZBRA,Information Technology
502,ZBH,Health Care
503,ZION,Financials
504,ZTS,Health Care
