Instrument,Original Announcement Date Time,e_p,b_p
CPB,2017-08-31T12:15:00Z,0.01976820367546381,0.10176273401488761
CPB,2017-05-19T02:53:50Z,0.01004911668271753,0.08456103299491285
CPB,2017-02-17T12:32:00Z,0.0052562263078342365,0.07650151160907255
CPB,2016-11-22T17:00:00Z,0.01751437765065945,0.09530940440718448
CPB,2016-09-01T12:15:00Z,-0.004214480507270642,0.07934670090849047
NEM,2021-04-29T11:00:01Z,0.0115891098988862,0.47946573279345467
NEM,2021-02-18T12:00:01Z,0.017126307881986352,0.4782064220251724
NEM,2020-10-29T11:38:51Z,0.016447586789293648,0.4442416736974772
NEM,2020-07-30T10:30:01Z,0.006942261769746528,0.4440625813415773
NEM,2020-05-05T10:31:50Z,0.022473373396480614,0.5961732120239127
NEM,2020-02-20T11:55:00Z,0.01586098894962918,0.6013139527452337
NEM,2019-11-05T12:55:00Z,0.070053837593861,0.6892808721930401
NEM,2019-07-25T10:55:00Z,-0.0007928629489054183,0.6138027805246187
NEM,2019-04-25T10:57:14Z,0.004566069598784543,0.5510248818119415
NEM,2019-02-21T11:55:00Z,0.00010836186875971848,0.5690081728572817
NEM,2018-10-25T10:55:00Z,-0.009001379655154258,0.6578456565908253
NEM,2018-07-26T10:57:13Z,0.014514529581865325,0.5374849601668142
NEM,2018-04-26T17:00:00Z,0.009211786353200958,0.5073679202348965
NEM,2018-02-21T05:00:00Z,-0.027085395075022344,0.5264661201390414
NEM,2017-10-26T17:00:00Z,0.01029844802259054,0.5568160877456964
NEM,2017-07-25T17:00:00Z,0.01024814025060613,0.6327213370543717
NEM,2017-04-24T17:00:00Z,0.0026829224365042116,0.6139325703106978
NEM,2017-02-21T17:00:00Z,-0.019023755062355437,0.59288859890556
NEM,2016-10-26T17:00:00Z,-0.0171726849478892,0.532545106959402
NEM,2016-07-20T17:00:00Z,0.0011082003984804589,0.5503901370366209
PFG,2021-04-27T20:14:00Z,0.031545146648024325,0.9397964739627513
PFG,2021-01-28T21:15:00Z,0.034675389963545473,1.2149519992961344
PFG,2020-10-26T20:18:10Z,0.021348061385564974,1.4157473472005881
PFG,2020-07-27T20:15:00Z,0.03501086885719424,1.3398799273841262
