,key,cash,model
93,cash_2021-03-04,129.9710718122152,RF Reg_target_120_rebal_60_2018-01-01
94,cash_2021-03-05,129.9710718122152,RF Reg_target_120_rebal_60_2018-01-01
95,cash_2021-03-08,129.9710718122152,RF Reg_target_120_rebal_60_2018-01-01
96,cash_2021-03-09,129.9710718122152,RF Reg_target_120_rebal_60_2018-01-01
97,cash_2021-03-10,129.9710718122152,RF Reg_target_120_rebal_60_2018-01-01
98,cash_2021-03-11,129.9710718122152,RF Reg_target_120_rebal_60_2018-01-01
99,cash_2021-03-12,129.9710718122152,RF Reg_target_120_rebal_60_2018-01-01
100,cash_2021-03-15,129.9710718122152,RF Reg_target_120_rebal_60_2018-01-01
101,cash_2021-03-16,129.9710718122152,RF Reg_target_120_rebal_60_2018-01-01
102,cash_2021-03-17,129.9710718122152,RF Reg_target_120_rebal_60_2018-01-01
103,cash_2021-03-18,129.9710718122152,RF Reg_target_120_rebal_60_2018-01-01
104,cash_2021-03-19,129.9710718122152,RF Reg_target_120_rebal_60_2018-01-01
105,cash_2021-03-22,129.9710718122152,RF Reg_target_120_rebal_60_2018-01-01
106,cash_2021-03-23,129.9710718122152,RF Reg_target_120_rebal_60_2018-01-01
107,cash_2021-03-24,129.9710718122152,RF Reg_target_120_rebal_60_2018-01-01
108,cash_2021-03-25,129.9710718122152,RF Reg_target_120_rebal_60_2018-01-01
109,cash_2021-03-26,129.9710718122152,RF Reg_target_120_rebal_60_2018-01-01
110,cash_2021-03-29,129.9710718122152,RF Reg_target_120_rebal_60_2018-01-01
111,cash_2021-03-30,129.9710718122152,RF Reg_target_120_rebal_60_2018-01-01
112,cash_2021-03-31,129.9710718122152,RF Reg_target_120_rebal_60_2018-01-01
113,cash_2021-04-01,129.9710718122152,RF Reg_target_120_rebal_60_2018-01-01
114,cash_2021-04-05,129.9710718122152,RF Reg_target_120_rebal_60_2018-01-01
115,cash_2021-04-06,129.9710718122152,RF Reg_target_120_rebal_60_2018-01-01
116,cash_2021-04-07,129.9710718122152,RF Reg_target_120_rebal_60_2018-01-01
117,cash_2021-04-08,129.9710718122152,RF Reg_target_120_rebal_60_2018-01-01
118,cash_2021-04-09,129.9710718122152,RF Reg_target_120_rebal_60_2018-01-01
119,cash_2021-04-12,129.9710718122152,RF Reg_target_120_rebal_60_2018-01-01
120,cash_2021-04-13,64.77926989036283,RF Reg_target_120_rebal_60_2018-01-01
