,Date,Value,Val_ex_cash,model
55,2019-12-18,1089535.860355771,1087016.71704288,MF_MLP
56,2019-12-19,1091401.785312127,1088882.641999236,MF_MLP
57,2019-12-20,1103728.2560996003,1101209.1127867093,MF_MLP
58,2019-12-23,1102393.9912266785,1099874.8479137875,MF_MLP
59,2019-12-24,1102242.359303982,1099723.215991091,MF_MLP
60,2019-12-26,1104490.972285562,1101971.828972671,MF_MLP
61,2019-12-27,1104436.4086978815,1101917.2653849905,MF_MLP
62,2019-12-30,1099323.8473556426,1096804.7040427516,MF_MLP
63,2019-12-31,1094817.8849019115,1092298.7415890205,MF_MLP
64,2020-01-02,1103893.8743964548,0.0,MF_MLP
65,2020-01-02,1103893.8743964548,1101321.9733732706,MF_MLP
66,2020-01-03,1097737.0933158977,1095165.1922927136,MF_MLP
67,2020-01-06,1096573.3217532004,1094001.4207300162,MF_MLP
68,2020-01-07,1100060.4246040015,1097488.5235808173,MF_MLP
69,2020-01-08,1101649.5118046417,1099077.6107814575,MF_MLP
70,2020-01-09,1109341.4436401722,1106769.542616988,MF_MLP
71,2020-01-10,1108861.6925565472,1106289.791533363,MF_MLP
72,2020-01-13,1108863.3726736093,1106291.471650425,MF_MLP
73,2020-01-14,1107425.4354737774,1104853.5344505932,MF_MLP
74,2020-01-15,1105911.9102437466,1103340.0092205624,MF_MLP
75,2020-01-16,1113218.2271264056,1110646.3261032214,MF_MLP
76,2020-01-17,1118093.0262687635,1115521.1252455793,MF_MLP
77,2020-01-21,1117405.3280545464,1114833.4270313622,MF_MLP
78,2020-01-22,1119749.2628857102,1117177.361862526,MF_MLP
79,2020-01-23,1115254.7049909942,1112682.80396781,MF_MLP
80,2020-01-24,1113631.6823250086,1111059.7813018244,MF_MLP
81,2020-01-27,1091764.2725876581,1089192.371564474,MF_MLP
82,2020-01-28,1102991.0708649035,1100419.1698417193,MF_MLP
83,2020-01-29,1109442.0547256363,1106870.153702452,MF_MLP
84,2020-01-30,1105574.1451702798,1103002.2441470956,MF_MLP
85,2020-01-31,1112772.8654479606,1110200.9644247764,MF_MLP
86,2020-02-03,1112095.455473013,1109523.5544498288,MF_MLP
87,2020-02-04,1127458.2489699938,1124886.3479468096,MF_MLP
88,2020-02-05,1140360.0103007315,1137788.1092775473,MF_MLP
89,2020-02-06,1144663.1671573417,1142091.2661341575,MF_MLP
90,2020-02-07,1145914.2346599924,1143342.3336368082,MF_MLP
91,2020-02-10,1152280.6970539305,1149708.7960307463,MF_MLP
92,2020-02-11,1159272.487778236,1156700.5867550517,MF_MLP
93,2020-02-12,1157620.4985379588,1155048.5975147747,MF_MLP
94,2020-02-13,1155950.785472665,1153378.8844494808,MF_MLP
95,2020-02-14,1158170.8093208564,1155598.9082976722,MF_MLP
96,2020-02-18,1158756.3845010677,1156184.4834778835,MF_MLP
97,2020-02-19,1164574.9219698685,1162003.0209466843,MF_MLP
98,2020-02-20,1158354.007914585,1155782.1068914009,MF_MLP
99,2020-02-21,1145555.617652593,1142983.7166294088,MF_MLP
100,2020-02-24,1101178.303374887,1098606.4023517028,MF_MLP
101,2020-02-25,1091935.2672453988,1089363.3662222147,MF_MLP
102,2020-02-26,1077819.4810714833,1075247.5800482992,MF_MLP
103,2020-02-27,1036533.7341394161,1033961.833116232,MF_MLP
104,2020-02-28,999735.2058115843,997163.3047884001,MF_MLP
105,2020-03-02,1042226.6249640326,1039654.7239408484,MF_MLP
106,2020-03-03,1049517.596988915,1046945.6959657308,MF_MLP
107,2020-03-04,1054834.1117218311,1052262.210698647,MF_MLP
108,2020-03-05,1040541.0782319822,1037969.177208798,MF_MLP
109,2020-03-06,1011370.7912188729,1008798.8901956887,MF_MLP
110,2020-03-09,955524.4187925295,952952.5177693453,MF_MLP
111,2020-03-10,982931.8080936939,980359.9070705097,MF_MLP
112,2020-03-11,962229.1416471258,959657.2406239416,MF_MLP
113,2020-03-12,887073.7715390987,884501.8705159145,MF_MLP
114,2020-03-13,926015.5292922861,923443.628269102,MF_MLP
115,2020-03-16,863388.9758187603,860817.0747955762,MF_MLP
116,2020-03-17,889669.8715723524,887097.9705491682,MF_MLP
117,2020-03-18,871283.9014563576,868712.0004331734,MF_MLP
