,key,Date,Ticker,Quantity,Basis,Purchase Price,Current Value,Last,% Gain,model
13,Positions_2020-10-19,2020-10-19,KMI,113,1370.6864596102312,12.12996866911709,1370.6864596102312,12.12996866911709,0.0,RF Reg_target_7_rebal_7_2018-01-01
0,Positions_2020-10-20,2020-10-19,PEAK,2552,66423.25831922457,26.0279225388811,66621.04129872388,26.105423706396508,0.3,RF Reg_target_7_rebal_7_2018-01-01
1,Positions_2020-10-20,2020-10-19,MRO,1418,5673.771824786225,4.001249523826675,5726.305907245043,4.038297536844177,0.9299999999999999,RF Reg_target_7_rebal_7_2018-01-01
2,Positions_2020-10-20,2020-10-19,T,167,4380.724863816919,26.23188541207736,4337.163696597248,25.971040099384723,-0.9900000000000001,RF Reg_target_7_rebal_7_2018-01-01
3,Positions_2020-10-20,2020-10-19,WFC,155,3485.689083946419,22.48831667062206,3505.256524055554,22.614558219713253,0.5599999999999999,RF Reg_target_7_rebal_7_2018-01-01
4,Positions_2020-10-20,2020-10-19,KIM,254,2736.62332672327,10.774107585524686,2742.8034879074266,10.798438928769396,0.22999999999999998,RF Reg_target_7_rebal_7_2018-01-01
5,Positions_2020-10-20,2020-10-19,MO,70,2614.054123883591,37.34363034119416,2589.206184961907,36.9886597851701,-0.95,RF Reg_target_7_rebal_7_2018-01-01
6,Positions_2020-10-20,2020-10-19,CCL,174,2472.9749751091003,14.212499856948853,2521.694970130921,14.492499828338625,1.97,RF Reg_target_7_rebal_7_2018-01-01
7,Positions_2020-10-20,2020-10-19,GILD,40,2369.4266525241874,59.23566631310469,2340.592614541219,58.51481536353048,-1.22,RF Reg_target_7_rebal_7_2018-01-01
8,Positions_2020-10-20,2020-10-19,XOM,59,1888.3282960186802,32.00556433929967,1879.1156726075856,31.849418179789588,-0.49,RF Reg_target_7_rebal_7_2018-01-01
9,Positions_2020-10-20,2020-10-19,C,42,1761.1924206414578,41.93315287241566,1780.188020954935,42.38542907035559,1.08,RF Reg_target_7_rebal_7_2018-01-01
10,Positions_2020-10-20,2020-10-19,HAL,140,1703.0191510409634,12.164422507435452,1763.1707291198568,12.594076636570406,3.53,RF Reg_target_7_rebal_7_2018-01-01
11,Positions_2020-10-20,2020-10-19,INTC,28,1504.311726557052,53.725418805609,1482.8920908324892,52.96043181544604,-1.4200000000000002,RF Reg_target_7_rebal_7_2018-01-01
12,Positions_2020-10-20,2020-10-19,MRK,20,1477.6465082667871,73.88232541333936,1462.2005883898908,73.11002941949454,-1.05,RF Reg_target_7_rebal_7_2018-01-01
13,Positions_2020-10-20,2020-10-19,KMI,113,1370.6864596102312,12.12996866911709,1360.533274410135,12.040117472656062,-0.74,RF Reg_target_7_rebal_7_2018-01-01
0,Positions_2020-10-21,2020-10-19,PEAK,2552,66423.25831922457,26.0279225388811,67226.73896231607,26.34276605106429,1.21,RF Reg_target_7_rebal_7_2018-01-01
1,Positions_2020-10-21,2020-10-19,MRO,1418,5673.771824786225,4.001249523826675,5775.339498372157,4.072876938203214,1.79,RF Reg_target_7_rebal_7_2018-01-01
2,Positions_2020-10-21,2020-10-19,T,167,4380.724863816919,26.23188541207736,4313.769697315086,25.830956271347823,-1.53,RF Reg_target_7_rebal_7_2018-01-01
3,Positions_2020-10-21,2020-10-19,WFC,155,3485.689083946419,22.48831667062206,3494.1299835881377,22.542774087665403,0.24,RF Reg_target_7_rebal_7_2018-01-01
4,Positions_2020-10-21,2020-10-19,KIM,254,2736.62332672327,10.774107585524686,2726.1167662482417,10.732743174205677,-0.38,RF Reg_target_7_rebal_7_2018-01-01
5,Positions_2020-10-21,2020-10-19,MO,70,2614.054123883591,37.34363034119416,2554.0869190038356,36.48695598576908,-2.29,RF Reg_target_7_rebal_7_2018-01-01
6,Positions_2020-10-21,2020-10-19,CCL,174,2472.9749751091003,14.212499856948853,2523.8700199127197,14.505000114440918,2.06,RF Reg_target_7_rebal_7_2018-01-01
7,Positions_2020-10-21,2020-10-19,GILD,40,2369.4266525241874,59.23566631310469,2330.432814794918,58.26082036987296,-1.6500000000000001,RF Reg_target_7_rebal_7_2018-01-01
